,variation,release_group,exercise_id,n_sets,MARE,OBZ,OB1,EC,rep_error_bias,is_FA,n_total_reps,signal_score,n_sets delta w/ hydra_v6b_python,signal_score delta w/ hydra_v6b_python,n_sets delta w/ hydra_v6_fastridefix,signal_score delta w/ hydra_v6_fastridefix
231,overhead press wide standing alternating with resting arm down,MVP,1493,8,1.04%,87.50%,100.00%,1,0.125,99.46%,96,94.01%,#N/A,#N/A,0.00,-1.61%
232,overhead press wide standing both arms,MVP,1495,12,2.50%,91.67%,91.67%,1,0.25,97.88%,121,89.84%,#N/A,#N/A,9.00,-6.95%
233,overhead press wide standing single arm,MVP,1496,12,3.24%,83.33%,91.67%,1,-0.0833333,98.73%,82,84.78%,0.00,1.38%,6.00,1.70%
234,overhead press wide standing single arm with resting arm down,MVP,1497,12,4.17%,91.67%,91.67%,1,-0.25,96.73%,77,84.32%,0.00,9.44%,7.00,4.72%
235,pike pushup on knees,List A,335,10,2.00%,80.00%,100.00%,1,0.2,94.53%,84,76.84%,2.00,-0.63%,-5.00,5.37%
236,pike pushup on toes,List A,851,20,11.82%,60.00%,75.00%,0,0.15,98.55%,165,67.67%,4.00,-10.15%,7.00,3.93%
237,pike reaches on toes alternating,MVP-X,1235,13,3.98%,69.23%,92.31%,1,0.23076923,98.95%,132,88.42%,0.00,6.72%,#N/A,#N/A
238,punches alternating heels planted,List A,1084,3,2.08%,66.67%,100.00%,1,-0.3333333,95.03%,46,87.51%,1.00,18.06%,-8.00,3.41%
239,push press single arm,List A,1242,6,99.79%,0.00%,16.67%,0,10,93.90%,70,97.26%,0.00,1.77%,-7.00,3.45%
240,push press standing both arms,List A,1241,5,10.00%,80.00%,80.00%,0,0.6,99.09%,42,96.13%,0.00,1.80%,-15.00,25.69%
241,pushup jack at bottom,List A,963,1,0.00%,100.00%,100.00%,1,0,94.94%,6,79.20%,0.00,8.75%,-15.00,-6.24%
242,pushup on knees,MVP,328,16,18.03%,31.25%,87.50%,0,1.625,96.70%,167,59.95%,5.00,-14.13%,1.00,-15.00%
243,pushup on toes,MVP,856,16,17.32%,43.75%,81.25%,0,-0.75,82.67%,131,89.62%,6.00,26.36%,3.00,-1.77%
244,pylo push up on knees,List B,1676,4,100.00%,0.00%,0.00%,0,-12.75,0.00%,51,0.00%,0.00,-91.86%,#N/A,#N/A
245,pylo push up on toes,List B,1675,3,100.00%,0.00%,0.00%,0,-10.333333,0.00%,31,0.00%,-1.00,-68.18%,#N/A,#N/A
246,renegade row alternating arms on knees,MVP-X,1482,4,29.58%,0.00%,25.00%,0,-1.5,100.00%,65,15.40%,#N/A,#N/A,#N/A,#N/A
247,renegade row alternating arms on toes,MVP-X,1483,20,10.07%,65.00%,75.00%,0,-1.2,98.22%,253,60.85%,15.00,4.92%,#N/A,#N/A
248,reverse fly on knees both arms,MVP,1253,10,7.73%,50.00%,80.00%,1,0.2,97.09%,100,82.93%,0.00,-2.01%,-9.00,-7.15%
249,reverse fly split stance both arms,MVP,1256,2,5.88%,50.00%,50.00%,1,1,91.47%,35,90.45%,1.00,1.60%,-12.00,1.37%
250,reverse fly standing bent over alternating,MVP,1251,11,21.64%,27.27%,63.64%,0,-0.3636364,99.48%,130,65.73%,1.00,13.40%,1.00,-1.37%
251,reverse fly standing bent over both arms,MVP,1250,10,1.11%,90.00%,100.00%,1,0.1,98.95%,96,93.81%,0.00,2.83%,-7.00,0.71%
252,reverse lunge alternating,MVP,871,14,1.91%,71.43%,100.00%,1,0.28571429,99.97%,172,94.45%,6.00,8.81%,4.00,-1.60%
253,reverse lunge alternating single dumbbell pass through,List A,872,2,10.56%,0.00%,100.00%,0,1,99.65%,19,93.39%,0.00,11.86%,-6.00,-0.41%
254,reverse lunge arms by side,MVP,881,14,7.12%,71.43%,85.71%,1,-0.1428571,97.11%,148,93.51%,0.00,4.25%,-4.00,1.29%
255,reverse lunge arms by side dumbbell,MVP,890,5,6.89%,40.00%,80.00%,1,0.8,97.98%,55,95.00%,2.00,6.51%,-8.00,7.32%
256,reverse lunge arms overhead,MVP,883,19,16.30%,57.89%,89.47%,0,1.63157895,98.97%,203,94.42%,2.00,4.06%,0.00,-0.07%
257,reverse lunge arms overhead dumbbell,MVP,891,5,4.04%,60.00%,100.00%,1,0.4,99.84%,50,95.09%,2.00,10.56%,0.00,-0.58%
258,reverse lunge arms straight out,MVP,882,18,9.32%,55.56%,94.44%,1,0.55555556,98.93%,188,92.29%,4.00,4.09%,-2.00,-2.76%
259,reverse lunge hands on hips,MVP,884,17,12.10%,52.94%,76.47%,0,0.17647059,95.80%,175,81.48%,1.00,-2.53%,0.00,1.75%
260,reverse lunge offset,MVP,877,5,126.00%,0.00%,0.00%,0,6,96.45%,24,94.42%,3.00,0.88%,0.00,-2.07%
261,reverse lunge runner arms,MVP,887,17,3.63%,64.71%,100.00%,1,0.35294118,95.35%,176,95.16%,0.00,6.30%,0.00,2.43%
262,reverse lunge single dumbbell by side,MVP,878,7,66.43%,28.57%,28.57%,0,3.14285714,98.31%,44,91.75%,5.00,8.62%,0.00,-1.40%
263,reverse lunge single dumbbell overhead,MVP,879,7,137.14%,0.00%,0.00%,0,9.42857143,90.50%,40,93.21%,5.00,11.71%,1.00,-1.75%
264,reverse lunge single leg,MVP,880,8,29.38%,50.00%,75.00%,0,2.75,98.49%,74,94.02%,6.00,17.47%,4.00,-2.59%
265,reverse lunge to press single arm,List B,876,2,132.50%,0.00%,0.00%,0,6,94.82%,9,94.13%,0.00,1.27%,#N/A,#N/A
266,reverse lunge weights racked,MVP,892,10,16.74%,40.00%,70.00%,0,0.2,99.32%,110,53.46%,5.00,-35.54%,2.00,-42.13%
267,reverse lunge with curl,List A,885,16,7.08%,50.00%,93.75%,1,0.5625,96.67%,144,94.39%,-1.00,5.70%,-3.00,-2.64%
268,reverse lunge with twist dumbbell,List A,889,2,5.56%,50.00%,100.00%,1,0.5,99.21%,18,43.45%,0.00,12.89%,-5.00,14.64%
269,roll up fingertips to ceiling,List A,1093,1,114.29%,0.00%,0.00%,0,8,97.53%,7,92.60%,0.00,15.81%,-16.00,3.74%
270,roll up fingertips to toes,List A,1094,1,0.00%,100.00%,100.00%,1,0,99.79%,8,92.95%,0.00,2.88%,-18.00,1.86%
271,russian twist heels on ground,MVP-X,894,1,6.67%,0.00%,100.00%,1,-1,100.00%,15,68.89%,0.00,14.36%,#N/A,#N/A
272,shoulder tap on knees,List A,1096,6,7.78%,50.00%,66.67%,1,-0.8333333,99.89%,63,22.26%,4.00,11.94%,-11.00,-9.79%
273,shoulder tap on toes,List A,1098,6,25.72%,0.00%,33.33%,0,-1.5,99.59%,61,22.55%,4.00,5.81%,-8.00,-16.67%
274,side bend kneeling alternating,List A,1106,2,0.00%,100.00%,100.00%,1,0,99.67%,21,86.46%,0.00,-0.71%,-11.00,5.20%
275,side bend kneeling single side,List A,1105,2,50.00%,50.00%,50.00%,0,5,99.93%,30,86.99%,0.00,4.77%,-11.00,4.63%
276,single arm dumbbell thruster squat to overhead press arm by side,List B,1667,4,5.63%,50.00%,100.00%,1,0.5,97.73%,36,98.15%,#N/A,#N/A,#N/A,#N/A
277,single leg deadlift alternating arms by side,MVP,904,17,40.50%,5.88%,64.71%,0,2.23529412,96.36%,142,96.22%,12.00,6.16%,-1.00,2.56%
278,single leg deadlift alternating arms straight out,MVP,905,19,66.15%,10.53%,47.37%,0,3.68421053,93.66%,148,95.04%,5.00,5.49%,2.00,-0.24%
279,single leg deadlift both hands holding one dumbbell,MVP,915,13,27.31%,38.46%,76.92%,0,2.84615385,96.75%,132,96.43%,7.00,11.57%,-6.00,0.71%
280,single leg deadlift opposite side hand dumbbell,MVP,908,11,5.43%,63.64%,90.91%,1,0.45454545,96.78%,101,96.99%,3.00,5.19%,0.00,7.28%
281,single leg deadlift same leg arms by side,MVP,910,18,28.02%,33.33%,72.22%,0,3,96.32%,176,96.22%,1.00,5.36%,-2.00,-0.65%
282,single leg deadlift same side hand dumbbell,MVP,909,10,27.94%,50.00%,70.00%,0,2,96.66%,98,88.45%,2.00,-3.10%,-3.00,-6.24%
283,snatch alternating,MVP,1107,9,12.77%,22.22%,66.67%,0,0.55555556,79.23%,89,92.64%,0.00,22.20%,-11.00,6.29%
284,snatch both arms,MVP,1108,1,0.00%,100.00%,100.00%,1,0,83.71%,9,97.19%,#N/A,#N/A,-9.00,-0.44%
285,snatch hang,MVP,1110,12,23.99%,33.33%,66.67%,0,-1.8333333,53.09%,110,87.47%,0.00,15.48%,-8.00,-8.69%
286,snatch power,MVP,1112,9,63.09%,0.00%,11.11%,0,3.55555556,65.47%,103,97.19%,0.00,14.44%,-10.00,4.14%
287,snatch single arm,MVP,1109,3,63.74%,0.00%,0.00%,0,0.66666667,87.73%,28,95.63%,1.00,1.58%,-5.00,-1.44%
288,split squat arms by side,MVP,937,10,31.84%,20.00%,40.00%,0,2.6,98.68%,91,78.98%,5.00,-7.98%,-1.00,1.38%
289,split squat arms out laterally,MVP,938,11,25.48%,18.18%,72.73%,0,1.63636364,98.57%,93,81.73%,6.00,-8.34%,1.00,1.17%
290,split squat arms overhead,MVP,940,10,13.56%,20.00%,80.00%,0,1.2,99.48%,93,86.63%,5.00,-1.75%,-1.00,25.52%
291,split squat arms straight out,MVP,939,18,91.05%,11.11%,11.11%,0,9.05555556,98.48%,199,94.68%,13.00,2.38%,-2.00,0.20%
292,split squat hands on hips,MVP,942,12,9.08%,50.00%,91.67%,1,0.58333333,99.73%,116,87.06%,7.00,-6.42%,-4.00,7.80%
293,split squat runners arms,MVP,945,20,85.15%,10.00%,20.00%,0,7.6,98.37%,255,94.23%,15.00,1.38%,0.00,1.51%
294,split squat with lateral raise,List A,944,4,38.75%,0.00%,75.00%,0,2,100.00%,34,97.15%,1.00,1.65%,-7.00,0.93%
295,squat jumps arms by side,MVP,949,18,8.32%,22.22%,94.44%,1,0.38888889,89.43%,182,93.20%,4.00,7.30%,-2.00,2.45%
296,squat jumps arms by side dumbbell,MVP,955,9,8.52%,33.33%,88.89%,1,0.55555556,95.25%,85,81.88%,3.00,-8.11%,1.00,2.12%
297,squat jumps arms straight out,MVP,951,17,13.40%,23.53%,94.12%,0,-1.1176471,92.83%,183,92.56%,4.00,4.08%,-1.00,4.93%
298,squat jumps arms swinging,MVP,952,10,15.91%,10.00%,90.00%,0,1.5,93.25%,98,95.84%,4.00,4.47%,3.00,0.33%
299,squat jumps hands centered,MVP,948,19,19.13%,15.79%,89.47%,0,2,93.79%,214,96.24%,6.00,1.28%,-1.00,0.87%
300,squat jumps hands on hips,MVP,950,18,7.80%,27.78%,94.44%,1,0.44444444,93.32%,180,82.43%,3.00,-3.10%,-2.00,6.36%
301,squat jumps single dumbbell hanging center,MVP,947,8,5.42%,50.00%,100.00%,1,0.5,91.04%,78,87.50%,3.00,0.71%,-1.00,-0.96%
302,squat jumps weights racked,MVP,956,10,16.83%,20.00%,70.00%,0,0.3,94.83%,108,82.53%,3.00,-8.74%,2.00,5.04%
303,squat thrust jump back,List A,1585,10,36.50%,10.00%,20.00%,0,3.7,97.91%,102,46.09%,7.00,-6.83%,0.00,11.48%
304,squat thrust step back,List A,1586,7,50.50%,0.00%,28.57%,0,5.57142857,98.76%,77,64.85%,4.00,18.68%,0.00,1.98%
305,standing good morning hands on head,List A,1073,6,5.83%,66.67%,83.33%,1,0.66666667,97.28%,51,80.04%,0.00,-10.38%,-13.00,3.44%
306,standing side bend both arms overhead,List B,1464,1,33.33%,0.00%,0.00%,0,-4,99.09%,12,27.84%,#N/A,#N/A,#N/A,#N/A
307,supinated row alternating with resting arm down,List A,1647,5,14.62%,60.00%,60.00%,0,-0.6,99.60%,66,83.10%,#N/A,#N/A,0.00,-1.99%
308,supinated row alternating with resting arm up,List A,1648,3,8.12%,0.00%,100.00%,1,1,99.83%,37,91.06%,#N/A,#N/A,-2.00,11.53%
309,supinated row both arms,List A,1649,8,3.31%,75.00%,87.50%,1,0.375,99.94%,87,83.05%,5.00,18.43%,0.00,6.87%
310,supinated row on knees same time,List A,1650,5,20.00%,80.00%,80.00%,0,3.2,100.00%,59,85.70%,#N/A,#N/A,0.00,2.84%
311,supinated row single arm,List A,1651,16,15.38%,62.50%,81.25%,0,1,99.72%,138,50.37%,#N/A,#N/A,6.00,1.18%
312,tall kneeling good morning hands on hips,List A,1074,6,0.00%,100.00%,100.00%,1,0,97.10%,59,95.27%,0.00,7.87%,-10.00,0.96%
313,tall kneeling good morning with dumbbell,List A,1075,6,0.00%,100.00%,100.00%,1,0,99.83%,59,94.98%,0.00,8.58%,-11.00,5.52%
314,tall kneeling good mornings hands behind head,List A,1484,14,3.31%,71.43%,92.86%,1,0.21428571,99.59%,135,79.88%,10.00,0.95%,11.00,76.41%
315,tricep kickback kneeling alternating with resting arm down,MVP,1261,11,8.64%,45.45%,72.73%,1,-0.3636364,99.42%,113,73.78%,1.00,0.34%,-4.00,-4.23%
316,tricep kickback kneeling alternating with resting arm up,List A,1262,10,11.00%,40.00%,70.00%,0,-0.5,100.00%,100,48.95%,1.00,-0.38%,-3.00,-1.53%
317,tricep kickback kneeling both arms,MVP,1260,14,3.23%,64.29%,100.00%,1,0.21428571,99.90%,148,63.00%,1.00,-9.43%,-3.00,-17.79%
318,tricep kickback standing alternating with resting arm down,MVP,1270,15,18.02%,26.67%,60.00%,0,-1.5333333,99.36%,151,79.70%,3.00,-3.47%,3.00,-1.69%
319,tricep kickback standing alternating with resting arm up,List A,1269,8,30.00%,0.00%,25.00%,0,-2.5,99.68%,80,75.18%,3.00,1.56%,-2.00,11.41%
320,tricep kickback standing both arms,MVP,1267,12,5.19%,50.00%,100.00%,1,0.33333333,99.28%,121,74.89%,2.00,-4.62%,-6.00,-5.36%
321,tricep kickback standing single arm,List B,1711,15,13.52%,13.33%,66.67%,0,0.13333333,99.58%,150,1.38%,-1.00,-38.63%,#N/A,#N/A
322,tricep kickback standing single arm with resting arm down,MVP,1268,6,19.34%,16.67%,50.00%,0,1.16666667,99.96%,91,81.90%,-1.00,2.66%,-14.00,-3.41%
323,tuck jump consecutive,List A,1076,4,42.13%,0.00%,0.00%,0,-9,93.59%,89,33.99%,0.00,13.59%,-13.00,10.32%
324,tuck jump with pause,List A,1077,5,38.49%,0.00%,40.00%,0,-9.6,80.81%,92,54.02%,0.00,36.08%,-12.00,14.49%
325,tuck up arms overhead,MVP,1124,4,20.66%,0.00%,25.00%,0,0.5,93.11%,39,93.68%,-2.00,4.76%,-14.00,7.29%
326,tuck up assisted,MVP,1730,15,3.29%,66.67%,100.00%,1,0.2,96.23%,156,80.49%,0.00,25.41%,4.00,-3.02%
327,tuck up both legs arms by side,MVP,1123,1,12.50%,0.00%,100.00%,0,-1,100.00%,8,84.90%,0.00,33.17%,-4.00,2.79%
328,tuck up hands grab feet,MVP,1126,4,20.63%,0.00%,50.00%,0,1.75,98.17%,33,89.28%,-2.00,0.49%,-12.00,-2.58%
329,tuck up hands grab knees,MVP,1125,6,36.34%,0.00%,50.00%,0,3,96.82%,50,74.40%,0.00,-5.70%,-13.00,-9.80%
330,turkish getup alternating,List A,1127,8,348.47%,0.00%,0.00%,0,18.5,86.19%,43,86.63%,2.00,2.75%,-2.00,84.23%
331,turkish getup same side,List A,1128,10,414.85%,0.00%,0.00%,0,24,88.58%,57,85.36%,2.00,4.07%,-1.00,69.43%
332,twisting curl,List B,197,9,0.00%,100.00%,100.00%,1,0,99.56%,121,98.34%,0.00,4.07%,#N/A,#N/A
333,v up arms by side,MVP,1129,9,9.94%,22.22%,88.89%,1,0.88888889,95.42%,84,85.98%,-1.00,22.61%,-5.00,1.26%
334,v up arms overhead,MVP,1130,9,17.13%,11.11%,88.89%,0,1.55555556,97.69%,83,80.08%,-1.00,11.99%,-11.00,5.35%
335,v up assisted,MVP,1131,10,19.11%,10.00%,70.00%,0,0.7,98.13%,85,79.82%,-1.00,16.56%,-5.00,3.90%
336,wide grip bent over row alternating with resting arm down,MVP,1721,7,11.39%,57.14%,71.43%,0,-1.4285714,94.10%,90,70.41%,0.00,21.00%,1.00,-3.07%
337,wide grip bent over row alternating with resting arm up,List A,1718,8,11.90%,25.00%,75.00%,0,0.625,99.92%,114,56.45%,0.00,1.66%,0.00,11.50%
338,wide grip bent over row both arms,MVP,1719,8,0.00%,100.00%,100.00%,1,0,100.00%,88,96.26%,0.00,6.96%,2.00,-0.56%
339,wide grip chest press hook lying alternating with resting arm down,MVP-X,1521,4,0.00%,100.00%,100.00%,1,0,100.00%,56,81.96%,0.00,36.53%,#N/A,#N/A
340,wide grip chest press hook lying both arms,MVP,1523,6,12.94%,66.67%,66.67%,0,-1.1666667,99.18%,83,70.05%,1.00,4.96%,2.00,-16.61%
341,wide grip chest press hook lying single arm,MVP-X,1524,15,10.09%,73.33%,86.67%,0,0.73333333,99.97%,140,66.50%,-1.00,21.77%,#N/A,#N/A
342,wide grip chest press table top alternating with resting arm down,MVP-X,1525,1,50.00%,0.00%,0.00%,0,-8,100.00%,16,50.67%,-1.00,13.39%,#N/A,#N/A
343,wide grip chest press table top one arm,MVP,1528,16,11.02%,56.25%,75.00%,0,1,100.00%,169,59.63%,0.00,18.78%,#N/A,#N/A
344,wood chop kneeling alternating,MVP,1136,3,122.22%,0.00%,0.00%,0,11.3333333,100.00%,28,97.94%,0.00,2.10%,-7.00,-1.09%
345,wood chop kneeling single side,MVP,1133,1,122.22%,0.00%,0.00%,0,11,100.00%,9,97.05%,#N/A,#N/A,-4.00,-1.99%
346,wood chop one knee,MVP,1140,4,100.53%,0.00%,0.00%,0,7,100.00%,49,98.55%,-1.00,2.47%,-8.00,-0.12%
347,wood chop sitting alternating,MVP,1135,3,121.85%,0.00%,0.00%,0,11.3333333,100.00%,28,98.08%,0.00,4.50%,-8.00,-0.57%
348,wood chop sitting single side,MVP,1134,1,107.69%,0.00%,0.00%,0,14,100.00%,13,98.11%,#N/A,#N/A,-4.00,-0.11%
349,wood chop standing alternating,MVP,1137,2,122.22%,0.00%,0.00%,0,11,100.00%,18,98.31%,-1.00,1.35%,-8.00,-1.04%
350,zottman curl balancing alternating with resting arm down,MVP,1291,1,110.00%,0.00%,0.00%,0,11,97.83%,10,15.86%,#N/A,#N/A,-7.00,-82.31%
351,zottman curl kneeling both arms,MVP,1279,13,6.60%,84.62%,84.62%,1,0.69230769,99.31%,145,98.15%,-1.00,2.56%,0.00,1.74%
352,zottman curl standing alternating with resting arm down,MVP,1287,2,25.00%,0.00%,50.00%,0,2.5,96.84%,20,82.05%,#N/A,#N/A,-6.00,-16.46%
353,zottman curl standing alternating with resting arm up,List A,1281,2,15.00%,0.00%,100.00%,0,1,100.00%,15,97.22%,#N/A,#N/A,-6.00,-1.14%
354,zottman curl standing both arms,MVP,1282,1,0.00%,100.00%,100.00%,1,0,83.48%,10,98.97%,#N/A,#N/A,-11.00,-0.38%