,variation,release_group,exercise_id,n_sets,MARE,OBZ,OB1,EC,rep_error_bias,is_FA,n_total_reps,signal_score,n_sets delta w/ hydra_v6_v10dataset,is_FA delta w/ hydra_v6_v10dataset,Notes,MARE Vs Hydra V6
0,alternating lunge jumps with both arms swinging,List A,613,16,60.06%,31.25%,37.50%,0,2.625,93.59%,136,93.22%,-2.00,-5.18%,,53.03%
1,alternating lunge jumps with runner arms,List A,612,18,76.98%,27.78%,27.78%,0,5.16666667,99.04%,164,89.13%,4.00,-0.96%,,64.79%
2,arnold press kneeling alternating with resting arm up,List B,1536,4,28.27%,0.00%,0.00%,0,-0.25,88.08%,52,94.66%,0.00,-10.11%,,#N/A
3,arnold press kneeling both arms at once,List B,1537,7,23.81%,57.14%,57.14%,0,-1.1428571,91.82%,79,96.07%,2.00,-6.72%,,#N/A
4,arnold press kneeling single arm,List B,1538,14,31.81%,42.86%,71.43%,0,0.64285714,94.15%,105,88.19%,0.00,-5.15%,,#N/A
5,arnold press kneeling single arm with resting arm hold at bottom of rep,List B,1539,2,42.86%,50.00%,50.00%,0,3,100.00%,26,89.85%,0.00,0.12%,,#N/A
6,arnold press standing alternating with resting arm down,List B,1544,4,14.29%,25.00%,50.00%,0,-0.5,98.73%,59,91.99%,0.00,-0.04%,,#N/A
7,arnold press standing alternating with resting arm up,List B,1540,4,47.81%,0.00%,25.00%,0,8.25,99.27%,60,87.00%,0.00,-0.13%,,#N/A
8,arnold press standing both arms at once,List B,1541,3,31.67%,33.33%,33.33%,0,1.33333333,94.98%,32,94.09%,0.00,-3.26%,,#N/A
9,arnold press standing single arm,List B,1542,20,34.30%,35.00%,65.00%,0,1.65,97.75%,137,91.77%,1.00,-0.99%,,#N/A
10,bent over row kneeling alternating with resting arm down,MVP,620,11,9.96%,54.55%,81.82%,1,-1.2727273,99.14%,150,59.45%,0.00,1.34%,,-7.82%
11,bent over row kneeling alternating with resting arm up,List B,621,13,13.30%,38.46%,61.54%,0,-0.4615385,98.75%,169,77.02%,2.00,-1.15%,,#N/A
12,bent over row kneeling both arms,MVP,618,10,1.77%,80.00%,100.00%,1,0,99.88%,122,92.40%,-3.00,0.40%,,-0.52%
13,bent over row standing alternating with resting arm down,MVP,614,10,16.80%,30.00%,50.00%,0,-2.4,99.87%,143,57.22%,-1.00,0.00%,,7.80%
14,bent over row standing alternating with resting arm up,List A,615,5,17.72%,20.00%,60.00%,0,-2.4,100.00%,71,77.63%,-2.00,0.00%,,3.26%
15,bent over row standing both arms,MVP,616,13,5.42%,69.23%,84.62%,1,0.15384615,99.57%,116,92.96%,-1.00,-0.18%,,4.30%
16,bent over row standing single arm,MVP,619,6,65.53%,16.67%,16.67%,0,7.16666667,98.12%,72,47.39%,-2.00,-1.01%,,44.09%
17,bicep curl balancing left alternating with resting arm down,MVP,629,8,7.64%,37.50%,87.50%,1,0.75,98.43%,80,93.80%,0.00,-0.43%,,6.39%
18,bicep curl balancing left single arm,MVP,637,8,33.52%,25.00%,62.50%,0,2.75,97.24%,146,81.97%,0.00,-0.66%,,27.27%
19,bicep curl balancing right both arms,MVP,632,10,12.83%,30.00%,80.00%,0,-0.4,98.87%,108,92.41%,0.00,-0.27%,,11.72%
20,bicep curl balancing right single arm,List B,636,6,40.44%,0.00%,16.67%,0,-1.6666667,97.59%,110,88.16%,0.00,0.41%,,#N/A
21,bicep curl kneeling alternating with resting arm down,MVP,643,9,6.40%,44.44%,88.89%,1,0.66666667,98.27%,95,85.17%,0.00,6.27%,,5.69%
22,bicep curl kneeling alternating with resting arm up,List B,644,9,16.57%,11.11%,44.44%,0,0.88888889,99.32%,99,93.09%,0.00,0.06%,,#N/A
23,bicep curl kneeling with both arms,MVP,645,11,1.82%,90.91%,90.91%,1,0.18181818,99.31%,110,94.78%,1.00,5.55%,,0.23%
24,bicep curl kneeling with single arm,MVP,647,7,71.25%,0.00%,28.57%,0,4.71428571,100.00%,100,91.01%,1.00,0.90%,,57.30%
25,bicep curl kneeling with single arm with resting arm half up,List A,648,8,79.50%,0.00%,25.00%,0,7.125,100.00%,121,94.19%,1.00,1.52%,,68.13%
26,bicep curl standing 1.5 rep,List B,649,17,45.86%,17.65%,41.18%,0,4.11764706,98.17%,286,98.64%,1.00,-1.26%,,#N/A
27,bicep curl standing alternating with resting arm down,MVP,657,12,3.70%,83.33%,91.67%,1,0.16666667,98.43%,133,89.63%,0.00,-0.53%,,-3.05%
28,bicep curl standing alternating with resting arm up,List A,652,12,15.44%,16.67%,75.00%,0,-0.5833333,99.80%,132,90.18%,0.00,0.02%,,-0.18%
29,bicep curl standing bottom half rep,List B,1695,3,19.09%,33.33%,66.67%,0,2.33333333,84.15%,33,76.44%,0.00,-14.49%,True Failure this data is great,#N/A
30,bicep curl standing top half rep,List B,1696,3,9.39%,33.33%,66.67%,1,1,99.30%,30,63.78%,0.00,-0.70%,,#N/A
31,bicep curl standing with both arms,MVP,653,19,5.39%,47.37%,100.00%,1,0.42105263,98.76%,184,90.62%,0.00,0.25%,,1.05%
32,bicep curl standing with single arm,MVP,655,11,30.48%,45.45%,72.73%,0,3,98.74%,165,95.01%,1.00,0.15%,,29.14%
33,bicycle,MVP-X,18,15,20.99%,26.67%,60.00%,0,-1.1333333,95.44%,244,72.40%,-2.00,-4.56%,,#N/A
34,bird dog opposite arm and leg knee to elbow,List A,1024,13,102.78%,0.00%,15.38%,0,10,98.87%,126,89.56%,0.00,-0.56%,,83.72%
35,bird dog opposite arm and leg rep,List A,1025,1,0.00%,100.00%,100.00%,1,0,99.60%,9,95.42%,-3.00,-0.24%,,-1.59%
36,bodyweight squat 1.5 squat,List A,572,12,41.85%,16.67%,50.00%,0,2.91666667,95.41%,126,95.41%,0.00,-1.04%,,12.62%
37,bodyweight squat arms by side,MVP,575,12,11.81%,50.00%,75.00%,0,-0.25,87.29%,156,91.05%,3.00,-7.39%,Data Audit,7.23%
38,bodyweight squat arms overhead,MVP,573,7,6.43%,57.14%,85.71%,1,0.71428571,99.15%,68,63.30%,0.00,-0.19%,,6.43%
39,bodyweight squat arms straight out,MVP,574,9,15.66%,55.56%,55.56%,0,0.11111111,91.65%,101,58.34%,0.00,-7.56%,,13.16%
40,bodyweight squat arms swinging,MVP,576,5,2.00%,80.00%,100.00%,1,0.2,91.07%,55,96.80%,-1.00,-2.67%,,2.00%
41,bodyweight squat hands at shoulders,MVP,329,20,10.28%,80.00%,90.00%,0,0.75,96.40%,200,96.51%,0.00,-1.04%,,7.83%
42,bodyweight squat hands centered,MVP,577,17,2.22%,82.35%,100.00%,1,0.17647059,99.13%,203,96.39%,0.00,-0.67%,,2.22%
43,bodyweight squat hands on head,MVP,578,11,2.73%,81.82%,90.91%,1,-0.0909091,96.37%,107,94.92%,0.00,-0.51%,,0.42%
44,bodyweight squat side step squat,List B,580,8,16.53%,62.50%,75.00%,0,1,94.05%,75,96.57%,0.00,-1.40%,,#N/A
45,bodyweight squat to knee drive,List B,584,17,10.88%,29.41%,82.35%,0,1.11764706,96.99%,180,82.81%,0.00,-2.46%,,#N/A
46,bodyweight squat to twisting knee drive,List B,585,10,32.80%,20.00%,70.00%,0,0.9,98.17%,99,80.04%,0.00,0.08%,,#N/A
47,bodyweight sumo squat 1.5 squat,List A,1628,8,46.46%,0.00%,12.50%,0,5.25,95.54%,90,95.44%,0.00,-1.26%,,19.44%
48,bodyweight sumo squat arms overhead,MVP,1629,8,8.18%,75.00%,75.00%,1,-0.875,94.23%,84,87.65%,1.00,1.67%,,-0.91%
49,bodyweight sumo squat arms straight out,MVP,1630,5,0.00%,100.00%,100.00%,1,0,98.47%,55,89.59%,0.00,-0.08%,,0.00%
50,bodyweight sumo squat arms swinging,MVP,1631,6,1.52%,83.33%,100.00%,1,0.16666667,94.90%,67,94.05%,0.00,-0.91%,,-0.30%
51,bodyweight sumo squat hands centered,MVP,1632,6,8.08%,66.67%,83.33%,1,-0.6666667,98.24%,63,82.03%,0.00,-0.29%,,8.08%
52,bodyweight sumo squat hands on head,MVP,1633,7,15.71%,57.14%,71.43%,0,-1.2857143,88.49%,74,83.55%,0.00,-7.80%,,-2.29%
53,bodyweight sumo squat to twisting knee drive,List B,1637,2,21.43%,50.00%,50.00%,0,3,95.79%,28,93.60%,0.00,-4.21%,,#N/A
54,broad jump with back pedal,List A,1035,16,30.33%,18.75%,50.00%,0,3.1875,92.16%,206,53.07%,-1.00,-7.79%,,16.85%
55,broad jump with jump back,List A,1037,7,118.18%,0.00%,0.00%,0,3.71428571,71.36%,41,76.60%,0.00,-23.62%,,83.57%
56,burpee chest to the ground,MVP,664,16,34.03%,43.75%,75.00%,0,1.5,90.59%,81,87.86%,-1.00,-3.04%,,26.44%
57,burpee from plank,MVP,665,14,9.05%,64.29%,92.86%,1,0.28571429,90.83%,65,84.89%,0.00,-2.80%,,3.58%
58,burpee with pushup,MVP,666,14,40.71%,21.43%,50.00%,0,1.92857143,92.03%,66,74.21%,0.00,-2.34%,,23.17%
59,chest fly hook lying alternating with resting arm up,MVP-X,1039,11,22.34%,9.09%,45.45%,0,0,100.00%,111,76.57%,0.00,0.24%,,#N/A
60,chest fly hook lying both arms,MVP-X,1038,9,9.51%,33.33%,77.78%,1,0.88888889,99.24%,92,85.03%,0.00,-0.31%,,#N/A
61,chest fly standing both arms,MVP,1050,13,7.74%,46.15%,84.62%,1,0.84615385,95.31%,133,98.23%,1.00,-2.75%,,4.22%
62,chest fly standing staggered both arms,MVP,1051,13,9.22%,15.38%,92.31%,1,0.76923077,97.40%,133,96.83%,1.00,-1.62%,,4.11%
63,chest fly table top alternating with resting arm down,MVP-X,1049,11,16.86%,27.27%,63.64%,0,1.63636364,99.78%,111,82.70%,1.00,0.44%,,#N/A
64,chest fly table top both arms,MVP-X,1040,8,9.44%,37.50%,75.00%,1,0.875,99.88%,77,66.66%,0.00,-0.05%,,#N/A
65,chest fly table top single arm,MVP-X,1048,14,37.95%,14.29%,57.14%,0,4.07142857,99.86%,192,56.52%,0.00,0.04%,,#N/A
66,clamshells from laying,List A,587,18,6.59%,44.44%,94.44%,1,0.5,99.64%,177,73.28%,-2.00,-0.36%,,-3.20%
67,clean both arms hang,List A,1058,16,37.58%,12.50%,43.75%,0,2.125,88.22%,149,91.40%,-3.00,-8.25%,snatch being added will boast this,28.81%
68,clean both arms squat,List B,1059,13,95.24%,7.69%,15.38%,0,7,88.77%,97,95.33%,-3.00,-7.40%,snatch being added will boast this,#N/A
69,clean single arm,List B,1061,16,169.32%,0.00%,0.00%,0,9.0625,96.62%,90,93.95%,0.00,-1.77%,,#N/A
70,clean single arm alternating,List A,1060,12,40.70%,8.33%,25.00%,0,4,97.10%,124,95.21%,0.00,-0.99%,,25.79%
71,clean single arm hang,List B,1062,13,140.16%,0.00%,0.00%,0,7.30769231,94.27%,69,86.90%,0.00,-2.81%,,#N/A
72,clean single arm squat,List B,1063,19,214.26%,0.00%,5.26%,0,10.3157895,94.34%,98,85.13%,0.00,-3.24%,,#N/A
73,concentrated curl kneeling lunge,List A,1030,15,53.56%,33.33%,60.00%,0,2.66666667,97.85%,84,78.67%,-2.00,-0.91%,,44.71%
74,cross body curl kneeling alternating with resting arm down,MVP,588,15,5.22%,60.00%,86.67%,1,0.4,98.98%,158,95.27%,-1.00,2.02%,,1.19%
75,cross body curl standing alternating with resting arm down,MVP,592,14,4.95%,57.14%,92.86%,1,0.5,96.93%,143,97.46%,-1.00,-0.55%,,4.43%
76,cross body curl standing single arm with resting arm down,MVP,593,11,83.40%,9.09%,9.09%,0,7,96.29%,135,89.78%,-2.00,-0.92%,,73.62%
77,crunch arms above you,List A,1082,15,14.56%,33.33%,80.00%,0,0.86666667,98.77%,150,63.08%,0.00,-1.23%,,4.49%
78,crunch arms by side,List B,1080,14,6.38%,57.14%,92.86%,1,-0.0714286,99.09%,140,61.16%,0.00,-0.91%,,#N/A
79,crunch arms overhead,List A,1081,14,6.17%,50.00%,92.86%,1,0.14285714,97.81%,136,71.98%,0.00,-1.35%,,-1.74%
80,crunch hands on head,MVP-X,1078,15,9.61%,66.67%,80.00%,1,0.86666667,99.36%,150,56.94%,0.00,-0.64%,,#N/A
81,crunch table top,List A,1083,14,4.77%,64.29%,85.71%,1,-0.2142857,100.00%,144,33.20%,0.00,0.00%,,-5.57%
82,dead bug arms and legs together,MVP-X,1302,12,14.05%,66.67%,83.33%,0,0.91666667,98.29%,109,92.59%,0.00,-1.63%,,#N/A
83,dead bug leg march,MVP-X,1307,10,59.52%,0.00%,30.00%,0,5.2,96.61%,105,53.99%,-7.00,-1.68%,,#N/A
84,dead bug legs only together,MVP-X,1309,16,5.90%,56.25%,87.50%,1,0.5625,98.76%,159,83.49%,0.00,-1.09%,,#N/A
85,dead bug opposite arm and leg alternating,MVP-X,1303,12,50.31%,0.00%,33.33%,0,2.91666667,99.15%,105,81.27%,0.00,-0.80%,,#N/A
86,dead bug single leg alternating,MVP-X,1308,10,9.54%,30.00%,90.00%,1,-0.3,98.11%,96,67.42%,-3.00,-1.57%,,#N/A
87,dead bug single side opposite arm and leg,MVP-X,1310,17,47.68%,35.29%,58.82%,0,3.29411765,99.31%,200,81.71%,0.00,-0.69%,,#N/A
88,deadlift arms by side,MVP,671,11,6.97%,63.64%,90.91%,1,-0.2727273,91.74%,103,85.36%,-2.00,-2.60%,,0.75%
89,deadlift arms straight out,MVP,672,14,13.97%,64.29%,78.57%,0,1.28571429,98.14%,129,96.76%,0.00,-0.65%,,9.30%
90,deadlift hands on hips,MVP,673,14,1.51%,85.71%,100.00%,1,0.14285714,94.48%,129,88.97%,-1.00,1.74%,,-3.97%
91,deadlift kickstand alternating arms straight out,List B,1477,5,6.43%,20.00%,100.00%,1,0.8,99.17%,66,96.58%,1.00,-0.05%,,#N/A
92,deadlift kickstand alternating hands on hips,List B,1479,1,16.67%,0.00%,0.00%,0,-2,37.93%,12,91.93%,0.00,-11.73%,,#N/A
93,deadlift kickstand single side arms by side,List B,1476,6,22.47%,66.67%,66.67%,0,1.5,96.19%,41,79.78%,0.00,-1.10%,,#N/A
94,deadlift single dumbbell,MVP,676,2,0.00%,100.00%,100.00%,1,0,99.31%,20,97.78%,-6.00,-0.32%,,-7.98%
95,diagonal chop bodyweight,List A,1065,10,39.94%,30.00%,60.00%,0,3.9,90.01%,145,79.39%,-6.00,-6.55%,,29.79%
96,diamond push up on knees,List B,1664,1,0.00%,100.00%,100.00%,1,0,96.59%,10,92.50%,0.00,21.05%,,#N/A
97,dumbbell lat pull over alternating knees bent,List B,1571,3,100.00%,0.00%,0.00%,0,-13.333333,0.00%,40,0.00%,0.00,0.00%,Not is TSM Mapping,#N/A
98,dumbbell lat pull over alternating table top,List B,1572,3,100.00%,0.00%,0.00%,0,-12.666667,0.00%,38,0.00%,0.00,0.00%,Not is TSM Mapping,#N/A
99,dumbbell lat pull over knees bent,List B,1566,3,100.00%,0.00%,0.00%,0,-10.666667,0.00%,32,0.00%,0.00,0.00%,Not is TSM Mapping,#N/A
100,dumbbell lat pull over legs at table top,List B,1567,2,100.00%,0.00%,0.00%,0,-11.5,0.00%,23,0.00%,0.00,0.00%,Not is TSM Mapping,#N/A
101,dumbbell lat pull over single dumbbell,List B,1569,1,100.00%,0.00%,0.00%,0,-10,0.00%,10,0.00%,#N/A,#N/A,Not is TSM Mapping,#N/A
102,dumbbell lat pullover single side,List B,1568,16,100.00%,0.00%,0.00%,0,-6.4375,0.00%,103,0.00%,0.00,0.00%,Not is TSM Mapping,#N/A
103,dumbbell pass through on knees,List A,1141,13,21.35%,15.38%,46.15%,0,0.15384615,98.60%,127,62.69%,2.00,-1.26%,,8.01%
104,dumbbell pass through on toes,List A,1142,15,10.00%,46.67%,73.33%,0,-0.2,99.86%,150,56.32%,-1.00,0.14%,,-5.98%
105,dumbbell push up on knees,MVP,1530,3,3.70%,66.67%,100.00%,1,0.33333333,100.00%,28,78.42%,0.00,0.00%,,-4.01%
106,dumbbell push up on toes,MVP,1529,1,0.00%,100.00%,100.00%,1,0,100.00%,11,98.17%,0.00,0.00%,,0.00%
107,dumbbell swing alternating single arm passing dumbbell,List A,679,13,11.18%,30.77%,76.92%,0,0.61538462,89.95%,137,87.73%,-1.00,-6.58%,Data Audit,2.71%
108,dumbbell swing both arms double dumbbell,List B,680,19,8.98%,26.32%,84.21%,1,0.89473684,92.75%,190,96.15%,0.00,-5.39%,,#N/A
109,dumbbell swing both arms single dumbbell,List A,681,19,18.16%,42.11%,68.42%,0,-1.3157895,73.07%,205,86.31%,-1.00,-21.61%,Data Audit,12.45%
110,dumbbell swing single arm,List B,684,18,36.67%,55.56%,66.67%,0,3.66666667,91.19%,186,83.74%,-1.00,-5.69%,,#N/A
111,dumbbell swing suitcase,List A,687,9,10.99%,33.33%,88.89%,0,1,97.56%,85,91.81%,0.00,0.18%,,7.32%
112,dumbbell thruster alternating,MVP,689,14,6.60%,57.14%,78.57%,1,0.64285714,92.83%,141,97.56%,1.00,-3.86%,,-5.13%
113,dumbbell thruster classic,MVP,688,18,6.65%,55.56%,88.89%,1,0.38888889,92.27%,177,98.75%,2.00,-4.03%,,6.65%
114,dumbbell thruster single arm,List B,690,20,27.39%,50.00%,75.00%,0,1.7,92.88%,185,96.07%,2.00,-2.23%,,#N/A
115,dumbbell thruster to rotational press both arms,MVP,691,11,7.20%,36.36%,100.00%,1,0.63636364,97.52%,114,92.23%,0.00,-0.94%,,7.20%
116,forearm side plank hip dip hand behind head on toes,List B,1577,5,22.86%,40.00%,60.00%,0,-1.6,100.00%,35,5.98%,0.00,0.00%,,#N/A
117,forearm side plank hip dip hand behind head with knee down,List B,1578,10,19.17%,40.00%,70.00%,0,-1.1,98.29%,62,9.48%,0.00,-1.35%,,#N/A
118,forearm side plank hip dip hand on hip on toes,List B,1580,8,6.37%,62.50%,100.00%,1,-0.125,99.70%,48,15.41%,0.00,0.00%,,#N/A
