,variation,release_group,exercise_id,n_sets,MARE,OBZ,OB1,EC,rep_error_bias,is_FA,n_total_reps,signal_score,n_sets delta w/ hydra_v6_v10dataset,is_FA delta w/ hydra_v6_v10dataset,Notes,MARE Vs Hydra V6
237,pike reaches on toes alternating,MVP-X,1235,13,3.98%,69.23%,92.31%,1,0.23076923,98.95%,132,88.42%,0.00,-1.05%,,#N/A
238,punches alternating heels planted,List A,1084,3,2.08%,66.67%,100.00%,1,-0.3333333,95.03%,46,87.51%,0.00,-4.97%,,-12.87%
239,push press single arm,List A,1242,6,99.79%,0.00%,16.67%,0,10,93.90%,70,97.26%,0.00,0.50%,WOOOOO,87.53%
240,push press standing both arms,List A,1241,5,10.00%,80.00%,80.00%,0,0.6,99.09%,42,96.13%,1.00,-0.91%,WOOOOO,-50.73%
241,pushup jack at bottom,List A,963,1,0.00%,100.00%,100.00%,1,0,94.94%,6,79.20%,0.00,-4.43%,,-3.33%
242,pushup on knees,MVP,328,16,18.03%,31.25%,87.50%,0,1.625,96.70%,167,59.95%,0.00,-1.74%,,10.19%
243,pushup on toes,MVP,856,16,17.32%,43.75%,81.25%,0,-0.75,82.67%,131,89.62%,1.00,-0.68%,"Data Audit, we have some garbage push ups in both training and testing ",6.58%
244,pylo push up on knees,List B,1676,4,100.00%,0.00%,0.00%,0,-12.75,0.00%,51,0.00%,0.00,0.00%,Not is TSM conflig mapping,#N/A
245,pylo push up on toes,List B,1675,3,100.00%,0.00%,0.00%,0,-10.333333,0.00%,31,0.00%,0.00,0.00%,Not is TSM conflig mapping,#N/A
246,renegade row alternating arms on knees,MVP-X,1482,4,29.58%,0.00%,25.00%,0,-1.5,100.00%,65,15.40%,2.00,0.00%,,#N/A
247,renegade row alternating arms on toes,MVP-X,1483,20,10.07%,65.00%,75.00%,0,-1.2,98.22%,253,60.85%,1.00,0.84%,,#N/A
248,reverse fly on knees both arms,MVP,1253,10,7.73%,50.00%,80.00%,1,0.2,97.09%,100,82.93%,0.00,-1.87%,,0.97%
249,reverse fly split stance both arms,MVP,1256,2,5.88%,50.00%,50.00%,1,1,91.47%,35,90.45%,0.00,-3.98%,,-0.11%
250,reverse fly standing bent over alternating,MVP,1251,11,21.64%,27.27%,63.64%,0,-0.3636364,99.48%,130,65.73%,0.00,-0.13%,,1.90%
251,reverse fly standing bent over both arms,MVP,1250,10,1.11%,90.00%,100.00%,1,0.1,98.95%,96,93.81%,0.00,-0.36%,,-1.00%
252,reverse lunge alternating,MVP,871,14,1.91%,71.43%,100.00%,1,0.28571429,99.97%,172,94.45%,0.00,0.72%,,1.91%
253,reverse lunge alternating single dumbbell pass through,List A,872,2,10.56%,0.00%,100.00%,0,1,99.65%,19,93.39%,0.00,-0.18%,,9.59%
254,reverse lunge arms by side,MVP,881,14,7.12%,71.43%,85.71%,1,-0.1428571,97.11%,148,93.51%,0.00,0.28%,,1.89%
255,reverse lunge arms by side dumbbell,MVP,890,5,6.89%,40.00%,80.00%,1,0.8,97.98%,55,95.00%,0.00,1.23%,,4.49%
256,reverse lunge arms overhead,MVP,883,19,16.30%,57.89%,89.47%,0,1.63157895,98.97%,203,94.42%,0.00,0.91%,,16.30%
257,reverse lunge arms overhead dumbbell,MVP,891,5,4.04%,60.00%,100.00%,1,0.4,99.84%,50,95.09%,0.00,1.87%,,4.04%
258,reverse lunge arms straight out,MVP,882,18,9.32%,55.56%,94.44%,1,0.55555556,98.93%,188,92.29%,0.00,1.05%,,8.94%
259,reverse lunge hands on hips,MVP,884,17,12.10%,52.94%,76.47%,0,0.17647059,95.80%,175,81.48%,1.00,-1.12%,,6.10%
260,reverse lunge offset,MVP,877,5,126.00%,0.00%,0.00%,0,6,96.45%,24,94.42%,0.00,2.45%,,126.00%
261,reverse lunge runner arms,MVP,887,17,3.63%,64.71%,100.00%,1,0.35294118,95.35%,176,95.16%,0.00,-1.59%,,0.70%
262,reverse lunge single dumbbell by side,MVP,878,7,66.43%,28.57%,28.57%,0,3.14285714,98.31%,44,91.75%,0.00,-0.03%,,59.26%
263,reverse lunge single dumbbell overhead,MVP,879,7,137.14%,0.00%,0.00%,0,9.42857143,90.50%,40,93.21%,0.00,-3.67%,,129.11%
264,reverse lunge single leg,MVP,880,8,29.38%,50.00%,75.00%,0,2.75,98.49%,74,94.02%,1.00,-0.07%,,14.51%
265,reverse lunge to press single arm,List B,876,2,132.50%,0.00%,0.00%,0,6,94.82%,9,94.13%,0.00,2.09%,,#N/A
266,reverse lunge weights racked,MVP,892,10,16.74%,40.00%,70.00%,0,0.2,99.32%,110,53.46%,2.00,0.82%,,14.24%
267,reverse lunge with curl,List A,885,16,7.08%,50.00%,93.75%,1,0.5625,96.67%,144,94.39%,0.00,-1.68%,,4.45%
268,reverse lunge with twist dumbbell,List A,889,2,5.56%,50.00%,100.00%,1,0.5,99.21%,18,43.45%,0.00,1.32%,,2.70%
269,roll up fingertips to ceiling,List A,1093,1,114.29%,0.00%,0.00%,0,8,97.53%,7,92.60%,0.00,0.12%,,94.22%
270,roll up fingertips to toes,List A,1094,1,0.00%,100.00%,100.00%,1,0,99.79%,8,92.95%,0.00,12.01%,,-6.47%
271,russian twist heels on ground,MVP-X,894,1,6.67%,0.00%,100.00%,1,-1,100.00%,15,68.89%,0.00,0.00%,,#N/A
272,shoulder tap on knees,List A,1096,6,7.78%,50.00%,66.67%,1,-0.8333333,99.89%,63,22.26%,0.00,0.25%,,-9.17%
273,shoulder tap on toes,List A,1098,6,25.72%,0.00%,33.33%,0,-1.5,99.59%,61,22.55%,0.00,0.50%,,6.68%
274,side bend kneeling alternating,List A,1106,2,0.00%,100.00%,100.00%,1,0,99.67%,21,86.46%,0.00,-0.33%,,-1.41%
275,side bend kneeling single side,List A,1105,2,50.00%,50.00%,50.00%,0,5,99.93%,30,86.99%,0.00,-0.07%,,40.00%
276,single arm dumbbell thruster squat to overhead press arm by side,List B,1667,4,5.63%,50.00%,100.00%,1,0.5,97.73%,36,98.15%,2.00,-0.15%,,#N/A
277,single leg deadlift alternating arms by side,MVP,904,17,40.50%,5.88%,64.71%,0,2.23529412,96.36%,142,96.22%,1.00,0.71%,,33.50%
278,single leg deadlift alternating arms straight out,MVP,905,19,66.15%,10.53%,47.37%,0,3.68421053,93.66%,148,95.04%,1.00,0.69%,,62.58%
279,single leg deadlift both hands holding one dumbbell,MVP,915,13,27.31%,38.46%,76.92%,0,2.84615385,96.75%,132,96.43%,1.00,0.19%,,25.93%
280,single leg deadlift opposite side hand dumbbell,MVP,908,11,5.43%,63.64%,90.91%,1,0.45454545,96.78%,101,96.99%,0.00,-0.10%,,-1.79%
281,single leg deadlift same leg arms by side,MVP,910,18,28.02%,33.33%,72.22%,0,3,96.32%,176,96.22%,2.00,-0.31%,,26.41%
282,single leg deadlift same side hand dumbbell,MVP,909,10,27.94%,50.00%,70.00%,0,2,96.66%,98,88.45%,0.00,-0.04%,,27.94%
283,snatch alternating,MVP,1107,9,12.77%,22.22%,66.67%,0,0.55555556,79.23%,89,92.64%,5.00,-18.33%,"This needs to be added to clean, previously was inferenced and I made it's unique grouping",1.19%
284,snatch both arms,MVP,1108,1,0.00%,100.00%,100.00%,1,0,83.71%,9,97.19%,-2.00,-15.04%,"This needs to be added to clean, previously was inferenced and I made it's unique grouping",-3.25%
285,snatch hang,MVP,1110,12,23.99%,33.33%,66.67%,0,-1.8333333,53.09%,110,87.47%,6.00,-46.58%,"This needs to be added to clean, previously was inferenced and I made it's unique grouping",17.76%
286,snatch power,MVP,1112,9,63.09%,0.00%,11.11%,0,3.55555556,65.47%,103,97.19%,6.00,-30.23%,"This needs to be added to clean, previously was inferenced and I made it's unique grouping",41.28%
287,snatch single arm,MVP,1109,3,63.74%,0.00%,0.00%,0,0.66666667,87.73%,28,95.63%,0.00,-9.03%,"This needs to be added to clean, previously was inferenced and I made it's unique grouping",33.80%
288,split squat arms by side,MVP,937,10,31.84%,20.00%,40.00%,0,2.6,98.68%,91,78.98%,0.00,-1.01%,,28.81%
289,split squat arms out laterally,MVP,938,11,25.48%,18.18%,72.73%,0,1.63636364,98.57%,93,81.73%,0.00,3.44%,,25.48%
290,split squat arms overhead,MVP,940,10,13.56%,20.00%,80.00%,0,1.2,99.48%,93,86.63%,1.00,-0.14%,,7.49%
291,split squat arms straight out,MVP,939,18,91.05%,11.11%,11.11%,0,9.05555556,98.48%,199,94.68%,0.00,-0.61%,,86.71%
292,split squat hands on hips,MVP,942,12,9.08%,50.00%,91.67%,1,0.58333333,99.73%,116,87.06%,0.00,0.94%,,5.51%
293,split squat runners arms,MVP,945,20,85.15%,10.00%,20.00%,0,7.6,98.37%,255,94.23%,0.00,-0.85%,,81.40%
294,split squat with lateral raise,List A,944,4,38.75%,0.00%,75.00%,0,2,100.00%,34,97.15%,0.00,0.00%,,27.01%
295,squat jumps arms by side,MVP,949,18,8.32%,22.22%,94.44%,1,0.38888889,89.43%,182,93.20%,-1.00,-4.75%,"Data Audit, likely garbage training/testing",1.88%
296,squat jumps arms by side dumbbell,MVP,955,9,8.52%,33.33%,88.89%,1,0.55555556,95.25%,85,81.88%,0.00,-0.44%,,5.00%
297,squat jumps arms straight out,MVP,951,17,13.40%,23.53%,94.12%,0,-1.1176471,92.83%,183,92.56%,-2.00,2.99%,,-1.50%
298,squat jumps arms swinging,MVP,952,10,15.91%,10.00%,90.00%,0,1.5,93.25%,98,95.84%,0.00,-3.12%,,8.42%
299,squat jumps hands centered,MVP,948,19,19.13%,15.79%,89.47%,0,2,93.79%,214,96.24%,0.00,-2.06%,,12.09%
300,squat jumps hands on hips,MVP,950,18,7.80%,27.78%,94.44%,1,0.44444444,93.32%,180,82.43%,-2.00,1.97%,,-6.02%
301,squat jumps single dumbbell hanging center,MVP,947,8,5.42%,50.00%,100.00%,1,0.5,91.04%,78,87.50%,0.00,-2.51%,,-3.41%
302,squat jumps weights racked,MVP,956,10,16.83%,20.00%,70.00%,0,0.3,94.83%,108,82.53%,0.00,-2.57%,,5.12%
303,squat thrust jump back,List A,1585,10,36.50%,10.00%,20.00%,0,3.7,97.91%,102,46.09%,0.00,0.76%,,-3.00%
304,squat thrust step back,List A,1586,7,50.50%,0.00%,28.57%,0,5.57142857,98.76%,77,64.85%,0.00,2.11%,,40.43%
305,standing good morning hands on head,List A,1073,6,5.83%,66.67%,83.33%,1,0.66666667,97.28%,51,80.04%,2.00,-2.59%,,-0.61%
306,standing side bend both arms overhead,List B,1464,1,33.33%,0.00%,0.00%,0,-4,99.09%,12,27.84%,0.00,-0.91%,,#N/A
307,supinated row alternating with resting arm down,List A,1647,5,14.62%,60.00%,60.00%,0,-0.6,99.60%,66,83.10%,0.00,-0.40%,,-51.92%
308,supinated row alternating with resting arm up,List A,1648,3,8.12%,0.00%,100.00%,1,1,99.83%,37,91.06%,0.00,0.00%,,6.87%
309,supinated row both arms,List A,1649,8,3.31%,75.00%,87.50%,1,0.375,99.94%,87,83.05%,0.00,-0.06%,,3.31%
310,supinated row on knees same time,List A,1650,5,20.00%,80.00%,80.00%,0,3.2,100.00%,59,85.70%,0.00,0.00%,,-12.00%
311,supinated row single arm,List A,1651,16,15.38%,62.50%,81.25%,0,1,99.72%,138,50.37%,0.00,-0.21%,,9.47%
312,tall kneeling good morning hands on hips,List A,1074,6,0.00%,100.00%,100.00%,1,0,97.10%,59,95.27%,1.00,-1.52%,,0.00%
313,tall kneeling good morning with dumbbell,List A,1075,6,0.00%,100.00%,100.00%,1,0,99.83%,59,94.98%,0.00,0.05%,,-2.35%
314,tall kneeling good mornings hands behind head,List A,1484,14,3.31%,71.43%,92.86%,1,0.21428571,99.59%,135,79.88%,0.00,0.12%,,3.31%
315,tricep kickback kneeling alternating with resting arm down,MVP,1261,11,8.64%,45.45%,72.73%,1,-0.3636364,99.42%,113,73.78%,0.00,0.42%,,0.01%
316,tricep kickback kneeling alternating with resting arm up,List A,1262,10,11.00%,40.00%,70.00%,0,-0.5,100.00%,100,48.95%,0.00,0.39%,,1.00%
317,tricep kickback kneeling both arms,MVP,1260,14,3.23%,64.29%,100.00%,1,0.21428571,99.90%,148,63.00%,0.00,1.60%,,1.62%
318,tricep kickback standing alternating with resting arm down,MVP,1270,15,18.02%,26.67%,60.00%,0,-1.5333333,99.36%,151,79.70%,0.00,-0.64%,,5.51%
319,tricep kickback standing alternating with resting arm up,List A,1269,8,30.00%,0.00%,25.00%,0,-2.5,99.68%,80,75.18%,0.00,-0.32%,,15.75%
320,tricep kickback standing both arms,MVP,1267,12,5.19%,50.00%,100.00%,1,0.33333333,99.28%,121,74.89%,0.00,-0.69%,,-0.05%
321,tricep kickback standing single arm,List B,1711,15,13.52%,13.33%,66.67%,0,0.13333333,99.58%,150,1.38%,0.00,-0.21%,,#N/A
322,tricep kickback standing single arm with resting arm down,MVP,1268,6,19.34%,16.67%,50.00%,0,1.16666667,99.96%,91,81.90%,0.00,-0.04%,,9.95%
323,tuck jump consecutive,List A,1076,4,42.13%,0.00%,0.00%,0,-9,93.59%,89,33.99%,0.00,-4.94%,,11.96%
324,tuck jump with pause,List A,1077,5,38.49%,0.00%,40.00%,0,-9.6,80.81%,92,54.02%,0.00,-10.41%,"The pause here might be a problem, no other jumps have a pause",23.15%
325,tuck up arms overhead,MVP,1124,4,20.66%,0.00%,25.00%,0,0.5,93.11%,39,93.68%,-2.00,-1.06%,,6.61%
326,tuck up assisted,MVP,1730,15,3.29%,66.67%,100.00%,1,0.2,96.23%,156,80.49%,0.00,-1.81%,,0.94%
327,tuck up both legs arms by side,MVP,1123,1,12.50%,0.00%,100.00%,0,-1,100.00%,8,84.90%,-1.00,0.00%,,12.50%
328,tuck up hands grab feet,MVP,1126,4,20.63%,0.00%,50.00%,0,1.75,98.17%,33,89.28%,0.00,0.35%,,17.60%
329,tuck up hands grab knees,MVP,1125,6,36.34%,0.00%,50.00%,0,3,96.82%,50,74.40%,-1.00,1.58%,,30.86%
330,turkish getup alternating,List A,1127,8,348.47%,0.00%,0.00%,0,18.5,86.19%,43,86.63%,1.00,-11.83%,Need to invesigate,243.81%
331,turkish getup same side,List A,1128,10,414.85%,0.00%,0.00%,0,24,88.58%,57,85.36%,3.00,-9.72%,Need to invesigate,283.33%
332,twisting curl,List B,197,9,0.00%,100.00%,100.00%,1,0,99.56%,121,98.34%,0.00,-0.19%,,#N/A
333,v up arms by side,MVP,1129,9,9.94%,22.22%,88.89%,1,0.88888889,95.42%,84,85.98%,1.00,-2.00%,,8.51%
334,v up arms overhead,MVP,1130,9,17.13%,11.11%,88.89%,0,1.55555556,97.69%,83,80.08%,1.00,-0.15%,,13.75%
335,v up assisted,MVP,1131,10,19.11%,10.00%,70.00%,0,0.7,98.13%,85,79.82%,0.00,-1.73%,,13.82%
336,wide grip bent over row alternating with resting arm down,MVP,1721,7,11.39%,57.14%,71.43%,0,-1.4285714,94.10%,90,70.41%,0.00,-2.53%,,-0.51%
337,wide grip bent over row alternating with resting arm up,List A,1718,8,11.90%,25.00%,75.00%,0,0.625,99.92%,114,56.45%,0.00,-0.02%,,3.32%
338,wide grip bent over row both arms,MVP,1719,8,0.00%,100.00%,100.00%,1,0,100.00%,88,96.26%,0.00,0.00%,,0.00%
339,wide grip chest press hook lying alternating with resting arm down,MVP-X,1521,4,0.00%,100.00%,100.00%,1,0,100.00%,56,81.96%,1.00,0.00%,,#N/A
340,wide grip chest press hook lying both arms,MVP,1523,6,12.94%,66.67%,66.67%,0,-1.1666667,99.18%,83,70.05%,0.00,-0.67%,,10.85%
341,wide grip chest press hook lying single arm,MVP-X,1524,15,10.09%,73.33%,86.67%,0,0.73333333,99.97%,140,66.50%,1.00,0.11%,,#N/A
342,wide grip chest press table top alternating with resting arm down,MVP-X,1525,1,50.00%,0.00%,0.00%,0,-8,100.00%,16,50.67%,#N/A,#N/A,,#N/A
343,wide grip chest press table top one arm,MVP,1528,16,11.02%,56.25%,75.00%,0,1,100.00%,169,59.63%,0.00,0.18%,,#N/A
344,wood chop kneeling alternating,MVP,1136,3,122.22%,0.00%,0.00%,0,11.3333333,100.00%,28,97.94%,0.00,0.00%,,115.83%
345,wood chop kneeling single side,MVP,1133,1,122.22%,0.00%,0.00%,0,11,100.00%,9,97.05%,0.00,0.00%,,119.17%
346,wood chop one knee,MVP,1140,4,100.53%,0.00%,0.00%,0,7,100.00%,49,98.55%,-1.00,0.34%,,93.27%
347,wood chop sitting alternating,MVP,1135,3,121.85%,0.00%,0.00%,0,11.3333333,100.00%,28,98.08%,0.00,0.00%,,106.81%
348,wood chop sitting single side,MVP,1134,1,107.69%,0.00%,0.00%,0,14,100.00%,13,98.11%,0.00,0.00%,,103.58%
349,wood chop standing alternating,MVP,1137,2,122.22%,0.00%,0.00%,0,11,100.00%,18,98.31%,0.00,0.00%,,114.90%
350,zottman curl balancing alternating with resting arm down,MVP,1291,1,110.00%,0.00%,0.00%,0,11,97.83%,10,15.86%,0.00,-2.17%,,108.75%
351,zottman curl kneeling both arms,MVP,1279,13,6.60%,84.62%,84.62%,1,0.69230769,99.31%,145,98.15%,-1.00,-0.25%,,4.20%
352,zottman curl standing alternating with resting arm down,MVP,1287,2,25.00%,0.00%,50.00%,0,2.5,96.84%,20,82.05%,-1.00,-2.85%,,25.00%
353,zottman curl standing alternating with resting arm up,List A,1281,2,15.00%,0.00%,100.00%,0,1,100.00%,15,97.22%,-1.00,0.42%,,-0.63%
354,zottman curl standing both arms,MVP,1282,1,0.00%,100.00%,100.00%,1,0,83.48%,10,98.97%,-2.00,-11.65%,Data Audit,-5.83%
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
All,Average,,,9.84,24.00%,44.00%,69.27%,0.47,0.65,96.23%,9697.46%,81.36%,-1.70%,-1.52%,,
,Sum,355,,2538,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
MVP,Average,,,10.96,11.52%,55.91%,82.55%,0.69,0.65,96.05%,,88.10%,,-1.38%,,
,Sum,178,,1293,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
List A,Average,,,10.63,31.16%,34.95%,61.94%,0.24,1.86,95.81%,,80.64%,,-2.27%,,
,,74,,,,,,,,,,,,,,