,variation,release_group,exercise_id,n_sets,MARE,OBZ,OB1,EC,rep_error_bias,is_FA,n_total_reps,signal_score,MARE delta w/ hydra_v5,n_sets delta w/ hydra_v5,is_FA delta w/ hydra_v5,signal_score delta w/ hydra_v5_variation
128,overhead extension kneeling single arm with resting arm down,MVP,802,18,0.97%,83.33%,94.44%,1,-0.11,99.91%,262,94.96%,0.00%,0,0.06%,0.00%
129,overhead extension standing alternating with resting arm down,MVP,812,6,0.00%,100.00%,100.00%,1,0.00,99.22%,55,94.00%,0.00%,0,0.00%,0.00%
130,overhead extension standing both arms,MVP,810,11,13.30%,36.36%,72.73%,0,1.09,99.24%,111,73.45%,0.00%,0,0.03%,-0.01%
131,overhead extension standing one dumbbell,MVP,807,20,16.81%,45.00%,70.00%,0,-0.40,99.05%,220,87.72%,0.00%,0,0.44%,-0.11%
132,overhead extension standing single arm,MVP,811,19,6.64%,42.11%,68.42%,1,1.05,97.50%,307,94.68%,0.05%,0,1.09%,-0.03%
133,overhead press kneeling alternating resting arm down,MVP,831,18,2.17%,77.78%,100.00%,1,0.00,98.24%,184,98.39%,0.56%,0,3.30%,-0.05%
134,overhead press kneeling both arms,MVP,835,18,2.63%,77.78%,94.44%,1,-0.06,95.75%,192,94.35%,0.05%,0,2.08%,-0.02%
135,overhead press kneeling single arm,List A,836,20,11.49%,60.00%,85.00%,0,-0.65,94.79%,379,88.02%,-1.29%,0,3.56%,-1.05%
136,overhead press kneeling single arm with resting arm down,MVP,832,20,3.06%,80.00%,95.00%,1,0.00,91.81%,198,93.22%,0.00%,0,5.00%,-0.18%
137,overhead press standing alternating with resting arm down,MVP,841,20,2.46%,75.00%,100.00%,1,-0.05,94.58%,197,85.68%,-0.05%,0,2.95%,0.00%
138,overhead press standing alternating with resting arm up,List A,837,19,11.27%,26.32%,89.47%,0,0.00,96.45%,198,81.22%,1.58%,0,2.42%,0.09%
139,overhead press standing both arms,MVP,839,19,1.58%,89.47%,94.74%,1,-0.05,93.20%,179,91.12%,-6.43%,0,4.79%,0.00%
140,overhead press standing single arm,MVP,840,20,1.53%,70.00%,100.00%,1,0.10,96.70%,401,97.91%,0.00%,0,1.37%,-0.01%
141,overhead press standing single arm with resting arm down,MVP,842,19,2.11%,78.95%,100.00%,1,0.21,91.33%,190,98.69%,0.00%,0,2.22%,0.00%
142,overhead press wide kneeling alternating resting arm down,MVP,1498,5,0.00%,100.00%,100.00%,1,0.00,99.33%,60,88.84%,0.00%,0,1.54%,0.56%
143,overhead press wide kneeling both arms,MVP,1500,5,0.00%,100.00%,100.00%,1,0.00,97.53%,50,79.45%,0.00%,0,0.99%,-0.08%
144,overhead press wide kneeling single arm,MVP,1501,5,13.33%,60.00%,80.00%,0,-0.80,83.01%,30,78.71%,-10.00%,0,4.62%,19.34%
145,overhead press wide standing alternating with resting arm down,MVP,1493,8,2.08%,75.00%,100.00%,1,0.00,98.84%,96,95.63%,0.00%,0,1.20%,-0.02%
146,overhead press wide standing both arms,MVP,1495,3,0.00%,100.00%,100.00%,1,0.00,95.54%,30,96.79%,-6.67%,0,7.16%,-0.50%
147,overhead press wide standing single arm,MVP,1496,6,6.55%,66.67%,83.33%,1,-0.50,87.67%,43,83.09%,-6.55%,0,5.81%,3.88%
148,overhead press wide standing single arm with resting arm down,MVP,1497,5,0.00%,100.00%,100.00%,1,0.00,96.46%,32,79.60%,0.00%,0,0.39%,0.00%
149,pike pushup on knees,List A,335,15,2.67%,86.67%,93.33%,1,-0.27,99.78%,133,71.47%,0.00%,0,0.00%,0.00%
150,pike pushup on toes,List A,851,13,3.46%,84.62%,92.31%,1,0.38,100.00%,117,63.74%,0.00%,0,0.00%,0.00%
151,punches alternating heels planted,List A,1084,11,15.86%,36.36%,63.64%,0,-1.00,97.01%,146,84.10%,0.00%,0,0.39%,0.00%
152,push press single arm,List A,1242,13,13.43%,46.15%,46.15%,0,-2.00,71.03%,218,93.80%,-9.73%,0,6.85%,5.36%
153,push press standing both arms,List A,1241,20,61.62%,10.00%,10.00%,0,-5.85,36.90%,185,70.44%,-7.38%,0,8.89%,14.18%
154,pushup jack at bottom,List A,963,16,4.11%,81.25%,93.75%,1,0.13,96.39%,86,85.45%,-5.47%,0,10.01%,2.33%
155,pushup on knees,MVP,328,15,8.01%,66.67%,93.33%,1,-0.93,98.53%,180,74.95%,-1.29%,0,9.05%,-8.65%
156,pushup on toes,MVP,856,13,9.86%,69.23%,84.62%,1,-0.77,87.62%,121,91.38%,0.26%,0,5.19%,-0.53%
157,reverse fly on knees both arms,MVP,1253,19,5.32%,68.42%,89.47%,1,0.37,98.52%,198,90.08%,-0.38%,0,2.44%,-1.82%
158,reverse fly split stance both arms,MVP,1256,14,5.99%,28.57%,64.29%,1,1.00,95.70%,248,89.08%,0.40%,0,3.03%,-2.52%
159,reverse fly standing bent over alternating,MVP,1251,11,17.00%,36.36%,45.45%,0,-1.64,97.07%,128,67.11%,-2.64%,0,4.08%,2.17%
160,reverse fly standing bent over both arms,MVP,1250,18,1.94%,83.33%,94.44%,1,-0.11,99.78%,194,93.10%,0.00%,0,0.57%,0.00%
161,reverse lunge alternating,MVP,871,10,0.00%,100.00%,100.00%,1,0.00,97.82%,119,96.05%,0.00%,0,2.34%,0.00%
162,reverse lunge alternating single dumbbell pass through,List A,872,8,2.21%,75.00%,100.00%,1,0.00,96.86%,88,93.80%,0.00%,0,0.94%,-0.02%
163,reverse lunge arms by side,MVP,881,18,5.86%,66.67%,88.89%,1,-0.22,96.81%,197,92.22%,0.88%,0,1.75%,-0.04%
164,reverse lunge arms by side dumbbell,MVP,890,13,2.46%,84.62%,92.31%,1,0.31,98.46%,144,87.67%,0.00%,0,1.85%,-2.03%
165,reverse lunge arms overhead,MVP,883,19,0.53%,94.74%,100.00%,1,-0.05,98.88%,209,94.50%,0.00%,0,1.00%,-0.01%
166,reverse lunge arms overhead dumbbell,MVP,891,5,0.00%,100.00%,100.00%,1,0.00,97.96%,52,95.67%,0.00%,0,1.55%,0.00%
167,reverse lunge arms straight out,MVP,882,20,0.00%,100.00%,100.00%,1,0.00,97.85%,220,95.05%,0.00%,0,1.93%,-0.07%
168,reverse lunge hands on hips,MVP,884,17,5.51%,64.71%,82.35%,1,-0.59,97.04%,185,79.73%,-0.53%,0,2.10%,-2.32%
169,reverse lunge offset,MVP,877,5,0.00%,100.00%,100.00%,1,0.00,93.80%,51,96.50%,0.00%,0,1.46%,-0.08%
170,reverse lunge runner arms,MVP,887,17,1.07%,88.24%,100.00%,1,-0.12,96.97%,182,92.73%,-0.53%,0,1.66%,-1.69%
171,reverse lunge single dumbbell by side,MVP,878,7,4.29%,85.71%,85.71%,1,-0.43,97.79%,70,93.14%,0.00%,0,0.58%,0.00%
172,reverse lunge single dumbbell overhead,MVP,879,6,6.52%,66.67%,83.33%,1,-0.67,91.39%,60,94.95%,0.00%,0,3.10%,-0.19%
173,reverse lunge single leg,MVP,880,4,14.86%,25.00%,75.00%,0,-2.50,98.49%,68,96.61%,0.00%,0,0.32%,0.00%
174,reverse lunge weights racked,MVP,892,8,2.50%,87.50%,87.50%,1,-0.25,97.47%,86,95.58%,0.00%,0,1.92%,-0.03%
175,reverse lunge with curl,List A,885,19,3.16%,89.47%,89.47%,1,-0.32,99.19%,185,97.02%,0.00%,0,0.90%,-0.02%
176,reverse lunge with twist dumbbell,List A,889,7,8.73%,42.86%,71.43%,1,0.29,98.00%,69,28.81%,1.43%,0,0.66%,-1.50%
177,roll up fingertips to ceiling,List A,1093,17,6.21%,64.71%,82.35%,1,0.59,95.54%,157,88.86%,1.24%,0,2.75%,0.02%
178,roll up fingertips to toes,List A,1094,19,6.26%,63.16%,89.47%,1,0.21,94.80%,169,91.09%,1.90%,0,3.26%,0.11%
179,shoulder tap on knees,List A,1096,17,14.84%,29.41%,64.71%,0,-2.18,99.00%,211,32.05%,-3.71%,0,5.86%,-7.74%
180,shoulder tap on toes,List A,1098,14,21.90%,14.29%,28.57%,0,-2.93,96.08%,194,39.23%,-9.19%,0,10.04%,-9.04%
181,side bend kneeling alternating,List A,1106,13,0.64%,92.31%,100.00%,1,-0.08,99.43%,142,81.27%,0.00%,0,0.41%,-0.33%
182,side bend kneeling single side,List A,1105,13,12.25%,23.08%,69.23%,0,-0.38,96.84%,243,82.36%,0.81%,0,0.20%,-0.17%
183,single leg deadlift alternating arms by side,MVP,904,18,7.19%,77.78%,94.44%,1,0.61,95.72%,190,93.66%,-0.28%,0,1.27%,-0.51%
184,single leg deadlift alternating arms straight out,MVP,905,18,2.82%,77.78%,88.89%,1,0.22,96.31%,197,95.28%,-0.76%,0,2.48%,-0.74%
185,single leg deadlift both hands holding one dumbbell,MVP,915,19,1.38%,73.68%,100.00%,1,-0.05,97.85%,294,95.71%,0.00%,0,0.52%,-0.01%
186,single leg deadlift opposite side hand dumbbell,MVP,908,11,6.31%,63.64%,90.91%,1,-0.45,98.00%,117,89.72%,0.00%,0,1.31%,-0.03%
187,single leg deadlift same leg arms by side,MVP,910,20,1.11%,90.00%,100.00%,1,0.10,95.74%,259,96.87%,0.00%,0,0.57%,0.00%
188,single leg deadlift same side hand dumbbell,MVP,909,13,0.00%,100.00%,100.00%,1,0.00,96.24%,187,94.69%,-1.08%,0,1.72%,-0.22%
189,snatch alternating,MVP,1107,20,11.16%,45.00%,65.00%,0,0.45,92.98%,205,86.34%,-1.77%,0,3.62%,-0.89%
190,snatch both arms,MVP,1108,10,2.25%,80.00%,100.00%,1,0.20,98.83%,98,97.62%,0.00%,0,1.01%,-0.01%
191,snatch hang,MVP,1110,20,4.04%,85.00%,95.00%,1,-0.20,95.54%,197,96.16%,0.42%,0,2.53%,-0.41%
192,snatch power,MVP,1112,19,20.62%,0.00%,47.37%,0,-1.63,93.81%,342,93.05%,-0.12%,0,2.45%,-1.90%
193,snatch single arm,MVP,1109,8,32.26%,0.00%,37.50%,0,2.50,98.62%,88,97.07%,0.00%,0,1.34%,0.00%
194,split squat arms by side,MVP,937,11,11.01%,81.82%,90.91%,0,1.00,99.38%,101,77.59%,0.00%,0,0.95%,-0.57%
195,split squat arms out laterally,MVP,938,10,0.00%,100.00%,100.00%,1,0.00,99.35%,97,80.57%,0.00%,0,1.11%,-0.01%
196,split squat arms overhead,MVP,940,11,11.13%,54.55%,72.73%,0,0.00,99.64%,109,61.11%,0.00%,0,0.43%,0.00%
197,split squat arms straight out,MVP,939,20,4.62%,30.00%,85.00%,1,0.90,98.49%,395,94.49%,0.00%,0,0.08%,0.00%
198,split squat hands on hips,MVP,942,16,5.86%,68.75%,81.25%,1,0.38,98.71%,194,79.26%,-0.33%,0,1.45%,-2.00%
199,split squat runners arms,MVP,945,20,4.00%,55.00%,80.00%,1,0.65,98.84%,369,92.73%,0.63%,0,0.21%,-0.01%
200,split squat with lateral raise,List A,944,12,11.59%,58.33%,91.67%,0,-0.58,99.38%,120,96.22%,0.00%,0,0.90%,-0.02%
201,squat jumps arms by side,MVP,949,20,8.73%,30.00%,85.00%,1,-0.15,93.47%,235,90.75%,0.00%,0,1.26%,-0.16%
202,squat jumps arms by side dumbbell,MVP,955,8,3.52%,62.50%,100.00%,1,-0.38,93.85%,82,79.76%,0.00%,0,1.41%,-1.90%
203,squat jumps arms straight out,MVP,951,18,14.26%,50.00%,88.89%,0,-2.00,88.36%,199,87.63%,-1.20%,0,1.87%,2.81%
204,squat jumps arms swinging,MVP,952,7,5.90%,57.14%,85.71%,1,0.29,96.34%,73,95.51%,0.00%,0,0.65%,-0.10%
205,squat jumps hands centered,MVP,948,20,6.08%,65.00%,95.00%,1,0.55,96.40%,234,95.37%,0.00%,0,0.92%,-0.08%
206,squat jumps hands on hips,MVP,950,20,14.71%,45.00%,80.00%,0,-1.85,91.86%,239,76.07%,0.11%,0,4.87%,-6.52%
207,squat jumps single dumbbell hanging center,MVP,947,9,7.53%,55.56%,77.78%,1,-0.33,90.60%,91,88.46%,-6.67%,0,6.07%,1.70%
208,squat jumps weights racked,MVP,956,8,9.55%,62.50%,75.00%,1,0.00,95.88%,84,77.49%,-1.14%,0,3.00%,-5.62%
209,squat thrust jump back,List A,1585,10,2.00%,90.00%,90.00%,1,0.20,92.59%,102,34.60%,-2.00%,0,5.54%,-12.41%
210,squat thrust step back,List A,1586,7,12.36%,28.57%,71.43%,0,0.86,83.41%,77,62.88%,-6.49%,0,2.85%,-3.58%
211,standing good morning hands on head,List A,1073,19,6.53%,47.37%,63.16%,1,1.00,99.29%,276,76.60%,0.49%,0,0.54%,-0.60%
212,supinated row alternating with resting arm down,List A,1647,5,37.97%,20.00%,60.00%,0,-0.60,99.33%,56,85.08%,0.00%,0,2.68%,-0.41%
213,supinated row alternating with resting arm up,List A,1648,5,2.68%,60.00%,100.00%,1,0.00,99.01%,68,79.54%,-1.54%,0,1.64%,-0.02%
214,supinated row both arms,List A,1649,8,0.00%,100.00%,100.00%,1,0.00,100.00%,87,76.19%,0.00%,1,0.07%,3.23%
215,supinated row on knees same time,List A,1650,5,30.00%,60.00%,60.00%,0,2.60,99.24%,54,82.86%,0.00%,0,0.89%,0.00%
216,supinated row single arm,List A,1651,10,5.77%,70.00%,90.00%,1,0.10,98.10%,90,49.20%,-11.00%,0,4.36%,-8.73%
217,tall kneeling good morning hands on hips,List A,1074,17,0.00%,100.00%,100.00%,1,0.00,98.41%,166,94.32%,0.00%,0,1.50%,-0.06%
218,tall kneeling good morning with dumbbell,List A,1075,17,2.94%,94.12%,94.12%,1,-0.29,99.42%,169,89.46%,0.00%,0,0.08%,0.00%
219,tall kneeling good mornings hands behind head,List A,1484,3,5.56%,66.67%,66.67%,1,0.67,100.00%,40,3.46%,0.00%,0,0.08%,-0.32%
220,tricep kickback kneeling alternating with resting arm down,MVP,1261,15,6.88%,60.00%,80.00%,1,0.00,98.76%,166,78.01%,0.00%,0,0.54%,-0.68%
221,tricep kickback kneeling alternating with resting arm up,List A,1262,13,16.92%,38.46%,61.54%,0,-1.38,99.80%,130,50.48%,0.00%,0,0.00%,0.00%
222,tricep kickback kneeling both arms,MVP,1260,17,4.56%,76.47%,88.24%,1,0.00,97.28%,170,80.79%,-0.59%,0,0.76%,-0.13%
223,tricep kickback standing alternating with resting arm down,MVP,1270,12,10.28%,50.00%,75.00%,0,-0.83,100.00%,118,81.39%,0.00%,0,0.00%,0.00%
224,tricep kickback standing alternating with resting arm up,List A,1269,10,18.00%,30.00%,50.00%,0,-1.60,100.00%,99,63.76%,0.00%,0,0.00%,0.00%
225,tricep kickback standing both arms,MVP,1267,18,4.09%,83.33%,94.44%,1,-0.33,99.83%,207,80.24%,0.00%,0,0.17%,0.00%
226,tricep kickback standing single arm with resting arm down,MVP,1268,20,8.33%,65.00%,75.00%,1,-0.10,99.43%,393,85.31%,-0.31%,0,0.50%,-0.01%
227,tuck jump consecutive,List A,1076,17,44.13%,5.88%,11.76%,0,-8.94,95.35%,360,23.67%,-1.62%,0,2.25%,-6.05%
228,tuck jump with pause,List A,1077,17,14.27%,23.53%,70.59%,0,-1.71,90.93%,192,39.53%,-2.71%,0,2.05%,-6.13%
229,tuck up arms overhead,MVP,1124,18,16.21%,55.56%,72.22%,0,-0.67,83.54%,160,86.39%,-2.36%,0,4.04%,-1.51%
230,tuck up assisted,MVP,1730,11,2.34%,72.73%,100.00%,1,-0.27,97.52%,121,83.52%,0.00%,0,0.93%,0.37%
231,tuck up both legs arms by side,MVP,1123,5,2.00%,80.00%,100.00%,1,0.20,98.05%,51,82.11%,0.00%,0,0.61%,-0.02%
232,tuck up hands grab feet,MVP,1126,16,4.17%,75.00%,93.75%,1,0.38,94.28%,149,91.86%,1.04%,0,1.08%,-0.04%
233,tuck up hands grab knees,MVP,1125,19,8.04%,52.63%,84.21%,1,0.53,97.05%,174,84.20%,0.23%,0,1.00%,0.07%
234,turkish getup alternating,List A,1127,10,100.00%,0.00%,0.00%,0,-5.20,99.03%,52,2.40%,0.00%,0,0.84%,-2.80%
235,turkish getup same side,List A,1128,12,100.00%,0.00%,0.00%,0,-6.33,95.69%,76,15.93%,0.00%,0,0.75%,-2.71%
236,v up arms by side,MVP,1129,14,2.08%,85.71%,92.86%,1,-0.21,95.47%,138,84.71%,0.00%,0,2.91%,0.28%
237,v up arms overhead,MVP,1130,20,4.75%,80.00%,90.00%,1,-0.10,95.44%,182,74.73%,0.00%,0,2.43%,-4.19%
238,v up assisted,MVP,1131,15,5.30%,60.00%,86.67%,1,0.27,98.71%,153,75.92%,-2.73%,0,5.20%,0.80%
239,wide grip bent over row alternating with resting arm down,MVP,1721,6,9.33%,66.67%,66.67%,1,1.17,96.18%,76,73.48%,1.39%,0,3.00%,-2.24%
240,wide grip bent over row alternating with resting arm up,List A,1718,8,17.21%,12.50%,25.00%,0,0.50,99.68%,118,44.95%,1.67%,0,1.90%,-2.09%
241,wide grip bent over row both arms,MVP,1719,6,0.00%,100.00%,100.00%,1,0.00,100.00%,67,96.83%,0.00%,0,0.00%,-0.06%
242,wide grip chest press hook lying both arms,MVP,1523,4,2.08%,75.00%,100.00%,1,0.25,98.89%,51,86.66%,0.00%,0,0.90%,-0.06%
243,wide grip chest press table top both arms,MVP,1527,4,1.92%,75.00%,100.00%,1,-0.25,100.00%,50,31.38%,0.00%,0,0.00%,0.00%
244,wood chop kneeling alternating,MVP,1136,10,6.39%,10.00%,100.00%,1,0.70,98.80%,144,99.02%,0.00%,0,0.33%,0.00%
245,wood chop kneeling single side,MVP,1133,5,3.05%,40.00%,100.00%,1,0.60,99.88%,100,99.04%,0.00%,0,0.07%,0.00%
246,wood chop one knee,MVP,1140,12,7.97%,25.00%,75.00%,1,0.08,96.98%,243,98.68%,0.33%,0,2.16%,0.00%
247,wood chop sitting alternating,MVP,1135,11,15.04%,0.00%,81.82%,0,1.27,99.96%,144,98.65%,0.00%,0,0.00%,0.00%
248,wood chop sitting single side,MVP,1134,5,4.11%,20.00%,100.00%,1,0.80,98.97%,99,98.22%,0.00%,0,0.13%,0.00%
249,wood chop standing alternating,MVP,1137,10,8.03%,20.00%,80.00%,1,0.60,99.63%,134,99.35%,0.00%,0,0.08%,0.00%
250,wood chop standing single side,MVP,1315,9,3.79%,33.33%,100.00%,1,0.44,98.89%,154,99.24%,-0.85%,0,0.34%,0.00%
251,zottman curl balancing alternating with resting arm down,MVP,1291,8,1.25%,87.50%,100.00%,1,0.13,97.69%,82,98.17%,1.25%,0,2.70%,-0.10%
252,zottman curl kneeling both arms,MVP,1279,13,0.85%,92.31%,100.00%,1,0.08,98.55%,131,96.41%,-0.83%,1,0.50%,0.22%
253,zottman curl standing alternating with resting arm down,MVP,1287,8,0.00%,100.00%,100.00%,1,0.00,98.75%,77,98.51%,0.00%,0,2.42%,-0.07%
254,zottman curl standing alternating with resting arm up,List A,1281,8,18.13%,0.00%,75.00%,0,1.75,100.00%,78,98.36%,0.00%,0,0.00%,0.00%
255,zottman curl standing both arms,MVP,1282,12,5.83%,83.33%,83.33%,1,-0.58,97.71%,110,99.35%,0.00%,0,0.64%,-0.04%
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
All,Average,,,12.16,7.85%,64.58%,85.00%,0.75,-0.19,96.15%,139.45,83.34%,-0.56%,,1.92%,-0.62%
,Sum,256,,3114,,,,,,,35700,,,7.00,,
,,,,,,,,,,,,,,,,
MVP,Average,,,11.90,5.04%,70.25%,90.01%,0.86,-0.10,96.16%,136.30,88.42%,-0.41%,,1.95%,-0.59%
,Sum,182,,2165,,,,,,,24807,,,6.00,,
,,,,,,,,,,,,,,,,
List A,Average,,,12.82,14.76%,50.63%,72.67%,0.47,-0.42,96.14%,147.20,70.84%,-0.94%,,1.85%,-0.68%
,Sum,74,,949,,,,,,,10893,,,1.00,,