,variation,release_group,exercise_id,n_sets,MARE,OBZ,OB1,EC,rep_error_bias,is_FA,n_total_reps,signal_score,FA Delta With V7,MARE Delta With V7,n_sets delta w/ hydra_v7,FA Delta With New Pipeline,MARE Delta With New Pipeline
126,overhead extension kneeling right lunge both arms,MVP,799,19,8.11%,52.63%,89.47%,1,-0.2105263158,99.81%,186,83.19%,0.48%,1.40%,0.00,0.97%,0.36%
127,overhead extension kneeling single arm with resting arm down,MVP,802,18,3.04%,61.11%,100.00%,1,0.05555555556,99.91%,262,88.90%,0.09%,-1.64%,0.00,0.26%,-0.65%
128,overhead extension standing alternating with resting arm down,MVP,812,6,12.32%,16.67%,83.33%,0,0.1666666667,99.00%,55,93.78%,0.20%,0.00%,0.00,0.40%,5.54%
129,overhead extension standing both arms,MVP,810,10,12.35%,40.00%,80.00%,0,1,99.23%,101,70.80%,0.17%,0.79%,0.00,0.69%,0.97%
130,overhead extension standing one dumbbell,MVP,807,19,16.54%,42.11%,73.68%,0,-1.157894737,99.56%,197,79.88%,0.52%,-0.77%,1.00,0.36%,-4.39%
131,overhead extension standing single arm,MVP,811,19,4.76%,52.63%,84.21%,1,0.05263157895,97.84%,307,86.07%,0.95%,-0.87%,0.00,-0.04%,-1.84%
132,overhead press kneeling alternating resting arm down,MVP,831,18,1.67%,83.33%,100.00%,1,0.05555555556,98.91%,184,98.11%,0.71%,0.56%,0.00,0.67%,-1.01%
133,overhead press kneeling both arms,MVP,835,18,2.54%,72.22%,100.00%,1,0.05555555556,98.13%,192,93.80%,1.56%,1.11%,0.00,0.53%,-1.10%
134,overhead press kneeling single arm,List A,836,18,11.39%,61.11%,77.78%,0,-1.277777778,96.77%,349,93.93%,-0.62%,-0.50%,0.00,3.56%,-5.93%
135,overhead press kneeling single arm with resting arm down,MVP,832,20,6.17%,60.00%,80.00%,1,0.5,96.67%,198,95.65%,-1.12%,0.56%,0.00,2.15%,0.06%
136,overhead press standing alternating with resting arm down,MVP,841,20,5.34%,70.00%,90.00%,1,-0.2,96.76%,197,84.11%,0.77%,2.00%,0.00,0.49%,-0.50%
137,overhead press standing alternating with resting arm up,List A,837,19,14.24%,31.58%,78.95%,0,-0.4736842105,97.53%,198,78.32%,0.30%,0.64%,0.00,-1.12%,3.28%
138,overhead press standing both arms,MVP,839,19,1.05%,89.47%,100.00%,1,0,96.15%,179,90.50%,-0.08%,-1.17%,0.00,-0.64%,-0.59%
139,overhead press standing single arm,MVP,840,20,0.97%,80.00%,100.00%,1,0.1,98.07%,401,96.23%,0.43%,-0.52%,0.00,0.21%,-0.74%
140,overhead press standing single arm with resting arm down,MVP,842,19,3.16%,73.68%,94.74%,1,0.3157894737,94.43%,190,97.97%,-0.21%,0.00%,0.00,-1.72%,-1.58%
141,overhead press wide kneeling alternating resting arm down,MVP,1498,5,1.67%,80.00%,100.00%,1,-0.2,96.20%,60,94.24%,-3.80%,1.67%,0.00,3.37%,-1.66%
142,overhead press wide kneeling both arms,MVP,1500,5,2.00%,80.00%,100.00%,1,-0.2,96.69%,50,76.53%,-1.76%,0.00%,0.00,-2.79%,-8.00%
143,overhead press wide kneeling single arm,MVP,1501,5,10.00%,60.00%,80.00%,0,-0.2,100.00%,30,82.17%,0.00%,6.67%,0.00,5.40%,10.00%
144,overhead press wide standing alternating with resting arm down,MVP,1493,8,0.00%,100.00%,100.00%,1,0,100.00%,96,95.96%,0.77%,0.00%,0.00,0.00%,-2.08%
145,overhead press wide standing both arms,MVP,1495,3,0.00%,100.00%,100.00%,1,0,99.49%,30,93.17%,0.48%,-3.33%,0.00,0.32%,0.00%
146,overhead press wide standing single arm with resting arm down,MVP,1497,5,0.00%,100.00%,100.00%,1,0,98.46%,32,80.66%,-0.32%,0.00%,0.00,-0.53%,0.00%
147,pike pushup on knees,List A,335,15,2.67%,86.67%,93.33%,1,-0.2666666667,99.78%,133,68.63%,0.00%,0.00%,0.00,0.00%,0.00%
148,pike pushup on toes,List A,851,13,4.24%,69.23%,92.31%,1,-0.3846153846,100.00%,117,66.77%,0.00%,2.70%,0.00,0.00%,4.24%
149,punches alternating heels planted,List A,1084,9,20.18%,44.44%,55.56%,0,-3,100.00%,120,79.35%,3.12%,1.20%,-2.00,11.08%,2.69%
150,push press single arm,List A,1242,13,3.18%,61.54%,76.92%,1,0.6153846154,97.84%,218,95.92%,0.98%,-0.23%,1.00,9.62%,-3.68%
151,push press standing both arms,List A,1241,20,4.33%,80.00%,85.00%,1,-0.1,96.47%,185,96.21%,-0.41%,1.28%,0.00,12.03%,-10.39%
152,pushup jack at bottom,List A,963,13,5.71%,76.92%,92.31%,1,-0.3846153846,97.38%,72,81.28%,2.82%,3.03%,-1.00,8.76%,-7.03%
153,pushup on knees,MVP,328,15,6.96%,73.33%,93.33%,1,-1,99.15%,180,75.41%,0.06%,-0.44%,0.00,0.69%,0.45%
154,pushup on toes,MVP,856,11,9.64%,81.82%,81.82%,1,-0.7272727273,92.36%,100,85.31%,3.47%,1.29%,-2.00,-1.93%,4.84%
155,reverse fly on knees both arms,MVP,1253,18,2.38%,94.44%,94.44%,1,0.1666666667,98.81%,188,87.52%,0.17%,-3.84%,0.00,2.46%,-6.10%
156,reverse fly split stance both arms,MVP,1256,14,4.78%,35.71%,71.43%,1,0.9285714286,96.08%,248,88.10%,0.86%,0.03%,0.00,1.43%,-3.49%
157,reverse fly standing bent over alternating,MVP,1251,11,17.12%,45.45%,54.55%,0,-1.727272727,98.66%,128,71.90%,0.22%,-0.25%,0.00,3.79%,6.39%
158,reverse fly standing bent over both arms,MVP,1250,18,1.67%,88.89%,94.44%,1,-0.05555555556,99.61%,194,89.54%,0.05%,0.00%,0.00,0.04%,-10.35%
159,reverse lunge alternating,MVP,871,10,1.00%,90.00%,100.00%,1,0.1,98.40%,119,94.37%,0.87%,1.00%,0.00,0.66%,-0.43%
160,reverse lunge alternating single dumbbell pass through,List A,872,7,2.53%,71.43%,100.00%,1,0.2857142857,97.07%,77,94.75%,0.62%,1.43%,0.00,0.59%,1.10%
161,reverse lunge arms by side,MVP,881,18,6.24%,61.11%,94.44%,1,-0.1111111111,97.81%,197,87.83%,0.86%,-0.41%,0.00,2.49%,-1.62%
162,reverse lunge arms by side dumbbell,MVP,890,13,0.90%,92.31%,92.31%,1,0.1538461538,99.24%,144,89.65%,0.39%,-3.75%,0.00,2.48%,-1.75%
163,reverse lunge arms overhead,MVP,883,19,1.05%,89.47%,100.00%,1,0,98.17%,209,94.78%,0.02%,0.00%,0.00,-0.84%,-4.40%
164,reverse lunge arms overhead dumbbell,MVP,891,5,0.00%,100.00%,100.00%,1,0,99.68%,52,95.37%,1.17%,0.00%,0.00,1.33%,-2.00%
165,reverse lunge arms straight out,MVP,882,20,1.38%,85.00%,100.00%,1,-0.05,97.82%,220,95.05%,0.38%,-1.22%,0.00,-0.53%,-0.80%
166,reverse lunge hands on hips,MVP,884,17,4.78%,64.71%,88.24%,1,-0.4117647059,98.44%,185,83.05%,0.68%,-1.27%,0.00,2.55%,-0.73%
167,reverse lunge offset,MVP,877,5,2.00%,80.00%,100.00%,1,0.2,94.83%,51,96.60%,0.70%,0.00%,0.00,-3.89%,0.18%
168,reverse lunge runner arms,MVP,887,16,1.35%,87.50%,100.00%,1,-0.125,96.99%,172,95.22%,0.30%,-0.25%,-1.00,0.71%,-2.43%
169,reverse lunge single dumbbell by side,MVP,878,7,4.29%,85.71%,85.71%,1,-0.4285714286,98.11%,70,94.77%,0.05%,0.00%,0.00,-1.66%,0.00%
170,reverse lunge single dumbbell overhead,MVP,879,6,5.00%,83.33%,83.33%,1,-0.5,94.44%,60,96.45%,1.57%,-1.52%,0.00,-2.81%,-1.52%
171,reverse lunge single leg,MVP,880,4,16.11%,0.00%,75.00%,0,-2.25,98.17%,68,96.72%,0.25%,1.25%,0.00,0.45%,1.25%
172,reverse lunge weights racked,MVP,892,8,3.75%,75.00%,87.50%,1,-0.125,98.29%,86,95.22%,0.38%,1.25%,0.00,0.15%,1.25%
173,reverse lunge with curl,List A,885,19,2.11%,94.74%,94.74%,1,-0.2105263158,98.91%,185,95.41%,0.47%,-0.12%,1.00,-0.26%,-2.28%
174,reverse lunge with twist dumbbell,List A,889,7,8.73%,57.14%,85.71%,1,-0.2857142857,97.43%,69,96.64%,0.61%,2.86%,0.00,-1.23%,2.86%
175,roll up fingertips to ceiling,List A,1093,17,7.84%,52.94%,70.59%,1,0.6470588235,97.08%,157,89.19%,1.10%,5.49%,0.00,0.81%,3.07%
176,roll up fingertips to toes,List A,1094,19,7.49%,63.16%,78.95%,1,0.2631578947,96.94%,169,84.58%,1.20%,2.66%,0.00,6.84%,-0.20%
177,shoulder tap on knees,List A,1096,16,28.36%,31.25%,37.50%,0,-3.875,96.69%,198,28.20%,-1.24%,15.46%,0.00,1.23%,7.87%
178,shoulder tap on toes,List A,1098,13,38.38%,15.38%,23.08%,0,-6,86.24%,184,39.56%,-6.40%,17.52%,0.00,17.27%,-4.53%
179,side bend kneeling alternating,List A,1106,13,1.41%,84.62%,100.00%,1,-0.1538461538,100.00%,142,78.53%,0.69%,0.00%,0.00,1.04%,-6.29%
180,side bend kneeling single side,List A,1105,13,9.51%,53.85%,69.23%,1,-0.3846153846,97.41%,243,83.67%,3.38%,-0.09%,0.00,1.02%,-1.05%
181,single leg deadlift alternating arms by side,MVP,904,18,7.52%,77.78%,94.44%,1,0.5,97.15%,190,95.11%,2.01%,0.79%,0.00,0.29%,-1.35%
182,single leg deadlift alternating arms straight out,MVP,905,18,3.54%,72.22%,88.89%,1,0.1666666667,96.31%,197,94.37%,1.03%,1.01%,0.00,-0.20%,0.30%
183,single leg deadlift both hands holding one dumbbell,MVP,915,19,1.80%,73.68%,100.00%,1,-0.1578947368,98.79%,294,95.25%,0.74%,1.27%,0.00,0.45%,0.44%
184,single leg deadlift opposite side hand dumbbell,MVP,908,11,6.31%,63.64%,90.91%,1,-0.4545454545,98.14%,117,93.71%,0.40%,-0.91%,0.00,-0.41%,-2.73%
185,single leg deadlift same leg arms by side,MVP,910,20,1.11%,90.00%,100.00%,1,0.1,97.56%,259,95.93%,1.62%,-0.22%,0.00,-0.29%,-0.95%
186,single leg deadlift same side hand dumbbell,MVP,909,13,0.38%,92.31%,100.00%,1,0.07692307692,97.50%,187,94.63%,2.19%,0.00%,0.00,5.13%,-7.01%
187,snatch alternating,MVP,1107,20,8.42%,60.00%,75.00%,1,0.65,94.53%,205,79.70%,-0.77%,0.74%,0.00,2.05%,-13.97%
188,snatch both arms,MVP,1108,10,3.16%,70.00%,100.00%,1,0.3,99.18%,98,97.25%,0.20%,1.91%,0.00,0.14%,-17.39%
189,snatch hang,MVP,1110,20,3.70%,75.00%,90.00%,1,0.2,95.46%,197,84.41%,-0.01%,0.73%,1.00,0.83%,-7.39%
190,snatch power,MVP,1112,19,20.99%,15.79%,47.37%,0,-1.631578947,93.88%,342,90.49%,0.46%,0.35%,0.00,1.76%,0.53%
191,snatch single arm,MVP,1109,8,16.26%,25.00%,50.00%,0,0.625,98.98%,88,92.50%,0.45%,-1.78%,0.00,1.49%,-13.63%
192,split squat arms by side,MVP,937,11,3.94%,81.82%,90.91%,1,0.1818181818,99.91%,101,72.15%,0.25%,1.92%,0.00,1.23%,2.93%
193,split squat arms out laterally,MVP,938,10,5.22%,70.00%,80.00%,1,-0.3,99.65%,97,76.19%,0.71%,4.22%,0.00,-0.25%,3.97%
194,split squat arms overhead,MVP,940,11,2.80%,72.73%,100.00%,1,-0.2727272727,99.97%,109,67.42%,0.47%,-3.56%,0.00,0.38%,-4.24%
195,split squat arms straight out,MVP,939,20,4.53%,30.00%,90.00%,1,0.9,99.01%,395,96.10%,0.32%,0.37%,0.00,-0.18%,0.01%
196,split squat hands on hips,MVP,942,16,5.14%,68.75%,93.75%,1,-0.3125,99.23%,194,77.87%,1.12%,2.46%,0.00,2.38%,-1.41%
197,split squat runners arms,MVP,945,19,4.22%,52.63%,73.68%,1,0.4736842105,99.39%,349,91.80%,0.22%,0.32%,0.00,-0.14%,-0.32%
198,split squat with lateral raise,List A,944,12,14.87%,58.33%,75.00%,0,-0.08333333333,99.05%,120,90.38%,-0.38%,1.92%,0.00,-0.73%,-2.50%
199,squat jumps arms by side,MVP,949,20,5.20%,60.00%,85.00%,1,-0.15,96.43%,235,86.76%,1.61%,-1.37%,0.00,2.93%,0.88%
200,squat jumps arms by side dumbbell,MVP,955,8,8.52%,62.50%,87.50%,1,-0.875,96.61%,82,82.99%,0.73%,3.75%,0.00,2.13%,3.72%
201,squat jumps arms straight out,MVP,951,18,8.88%,55.56%,88.89%,1,-0.6111111111,96.27%,199,78.72%,6.34%,-5.13%,0.00,3.03%,-3.01%
202,squat jumps arms swinging,MVP,952,7,7.49%,57.14%,85.71%,1,0.4285714286,97.68%,73,93.15%,1.17%,1.59%,0.00,2.38%,3.18%
203,squat jumps hands centered,MVP,948,20,7.03%,55.00%,95.00%,1,0.55,97.72%,234,92.78%,1.37%,0.45%,0.00,2.61%,3.45%
204,squat jumps hands on hips,MVP,950,20,7.68%,55.00%,90.00%,1,-0.3,93.53%,239,78.37%,1.42%,0.50%,0.00,5.65%,-0.22%
205,squat jumps single dumbbell hanging center,MVP,947,9,11.05%,44.44%,88.89%,0,-0.6666666667,89.32%,91,92.54%,4.88%,-1.30%,0.00,6.53%,-1.30%
206,squat jumps weights racked,MVP,956,8,6.25%,75.00%,87.50%,1,0.375,97.31%,84,94.36%,0.44%,0.11%,0.00,5.08%,-3.07%
207,squat thrust jump back,List A,1585,10,2.67%,80.00%,90.00%,1,0.1,97.85%,102,16.28%,0.62%,-3.00%,0.00,5.21%,-2.66%
208,squat thrust step back,List A,1586,7,2.60%,85.71%,85.71%,1,0.2857142857,96.80%,77,13.25%,0.45%,-1.30%,0.00,6.43%,-10.93%
209,standing good morning hands on head,List A,1073,18,3.82%,50.00%,77.78%,1,0.5,99.41%,260,80.08%,0.02%,-2.03%,-1.00,0.05%,-2.34%
210,supinated row alternating with resting arm down,List A,1647,5,68.08%,20.00%,60.00%,0,1,100.00%,56,82.33%,0.11%,3.08%,0.00,0.65%,38.57%
211,supinated row alternating with resting arm up,List A,1648,5,10.99%,40.00%,60.00%,0,-1.2,99.64%,68,81.59%,-0.26%,6.65%,0.00,-0.26%,-0.81%
212,supinated row both arms,List A,1649,8,0.00%,100.00%,100.00%,1,0,100.00%,87,81.84%,0.00%,-1.14%,0.00,0.05%,-5.68%
213,supinated row on knees same time,List A,1650,5,37.00%,40.00%,40.00%,0,0.6,100.00%,54,86.92%,0.00%,7.00%,0.00,3.45%,-6.73%
214,supinated row single arm,List A,1651,10,9.52%,60.00%,90.00%,1,0.2,99.83%,90,57.01%,-0.06%,6.41%,0.00,-0.06%,-6.05%
215,tall kneeling good morning hands on hips,List A,1074,17,0.00%,100.00%,100.00%,1,0,98.87%,166,94.02%,0.65%,0.00%,0.00,3.04%,0.00%
216,tall kneeling good morning with dumbbell,List A,1075,17,2.94%,94.12%,94.12%,1,-0.2941176471,99.84%,169,86.50%,0.65%,-0.59%,0.00,0.39%,0.00%
217,tall kneeling good mornings hands behind head,List A,1484,3,0.00%,100.00%,100.00%,1,0,100.00%,40,1.58%,0.00%,-7.54%,0.00,7.08%,-9.52%
218,tricep kickback kneeling alternating with resting arm down,MVP,1261,15,13.89%,60.00%,73.33%,0,-1.533333333,99.98%,166,70.94%,0.92%,6.07%,0.00,1.01%,5.21%
219,tricep kickback kneeling alternating with resting arm up,List A,1262,11,24.55%,27.27%,36.36%,0,-2.454545455,99.94%,110,43.41%,0.35%,2.73%,0.00,-0.01%,0.70%
220,tricep kickback kneeling both arms,MVP,1260,17,1.71%,88.24%,94.12%,1,-0.1764705882,98.36%,170,72.10%,0.70%,-0.53%,0.00,-1.06%,0.00%
221,tricep kickback standing alternating with resting arm down,MVP,1270,12,16.13%,33.33%,66.67%,0,-1.583333333,100.00%,118,82.63%,0.00%,6.04%,0.00,0.07%,7.61%
222,tricep kickback standing alternating with resting arm up,List A,1269,10,22.25%,10.00%,50.00%,0,-1.8,99.92%,99,76.15%,-0.08%,7.00%,0.00,0.08%,3.18%
223,tricep kickback standing both arms,MVP,1267,16,5.14%,75.00%,87.50%,1,-0.3125,99.74%,181,75.61%,-0.16%,2.50%,1.00,0.14%,-1.37%
224,tricep kickback standing single arm with resting arm down,MVP,1268,20,11.46%,45.00%,75.00%,0,-0.85,99.93%,393,82.05%,0.08%,4.00%,0.00,0.30%,2.21%
225,tuck jump consecutive,List A,1076,17,54.68%,5.88%,11.76%,0,-11.64705882,90.29%,360,27.83%,-1.56%,5.16%,0.00,34.28%,-11.58%
226,tuck jump with pause,List A,1077,17,26.63%,11.76%,35.29%,0,-2.529411765,87.02%,192,49.41%,-1.82%,9.09%,0.00,40.68%,-20.99%
227,tuck up arms overhead,MVP,1124,18,15.17%,61.11%,77.78%,0,-0.2777777778,83.87%,160,88.72%,1.81%,0.01%,0.00,1.77%,0.36%
228,tuck up assisted,MVP,1730,11,4.08%,54.55%,100.00%,1,-0.4545454545,97.33%,121,82.86%,-0.56%,1.74%,0.00,0.02%,-0.74%
229,tuck up both legs arms by side,MVP,1123,5,4.00%,80.00%,80.00%,1,0.4,97.94%,51,81.62%,-1.32%,4.00%,0.00,-0.83%,2.18%
230,tuck up hands grab feet,MVP,1126,16,5.25%,68.75%,87.50%,1,0.5,95.13%,149,92.03%,0.87%,2.95%,0.00,0.30%,-0.83%
231,tuck up hands grab knees,MVP,1125,19,5.48%,57.89%,94.74%,1,0.3684210526,97.34%,174,82.83%,0.82%,-0.65%,0.00,2.15%,0.07%
232,turkish getup alternating,List A,1127,10,97.50%,0.00%,0.00%,0,-5.1,99.45%,52,1.85%,0.34%,96.39%,0.00,1.79%,96.39%
233,turkish getup same side,List A,1128,12,94.09%,0.00%,0.00%,0,-5.916666667,95.68%,76,16.28%,0.40%,87.42%,0.00,1.84%,88.26%
234,v up arms by side,MVP,1129,14,1.36%,85.71%,100.00%,1,-0.1428571429,98.30%,138,70.99%,1.64%,-0.71%,0.00,2.59%,-2.80%
235,v up arms overhead,MVP,1130,20,2.88%,85.00%,95.00%,1,-0.2,96.90%,182,72.90%,1.19%,-1.99%,0.00,2.24%,-1.90%
236,v up assisted,MVP,1131,15,5.70%,66.67%,80.00%,1,-0.4,99.40%,153,58.48%,0.18%,0.75%,0.00,1.78%,-1.78%
237,wide grip bent over row alternating with resting arm down,MVP,1721,6,5.36%,50.00%,83.33%,1,0.3333333333,95.14%,76,79.08%,-0.94%,-5.56%,0.00,-4.86%,-5.16%
238,wide grip bent over row alternating with resting arm up,List A,1718,8,21.06%,25.00%,37.50%,0,-3,100.00%,118,56.58%,0.06%,12.40%,0.00,0.10%,-3.96%
239,wide grip bent over row both arms,MVP,1719,6,0.00%,100.00%,100.00%,1,0,100.00%,67,97.23%,0.00%,0.00%,0.00,0.06%,0.00%
240,wide grip chest press hook lying both arms,MVP,1523,4,2.08%,75.00%,100.00%,1,0.25,99.65%,51,83.90%,-0.26%,0.00%,0.00,0.10%,-1.93%
241,wide grip chest press table top both arms,MVP,1527,4,6.25%,50.00%,75.00%,1,0.75,100.00%,50,33.07%,0.00%,-5.77%,0.00,0.72%,2.24%
242,wood chop kneeling alternating,MVP,1136,10,2.00%,80.00%,100.00%,1,0.2,100.00%,144,98.78%,0.96%,1.00%,0.00,0.00%,-3.89%
243,wood chop kneeling single side,MVP,1133,5,1.05%,80.00%,100.00%,1,0.2,99.94%,100,98.75%,0.00%,0.00%,0.00,0.19%,-2.00%
244,wood chop one knee,MVP,1140,12,6.41%,50.00%,83.33%,1,-0.3333333333,97.48%,243,97.35%,0.58%,0.02%,0.00,-1.27%,-3.41%
245,wood chop sitting alternating,MVP,1135,11,9.32%,63.64%,81.82%,1,0.2727272727,100.00%,144,98.18%,0.04%,0.76%,0.00,0.00%,-3.76%
246,wood chop sitting single side,MVP,1134,5,2.22%,80.00%,80.00%,1,0.4,99.28%,99,98.28%,-0.72%,0.00%,0.00,-0.72%,-0.89%
247,wood chop standing alternating,MVP,1137,10,2.94%,70.00%,90.00%,1,0,99.84%,134,98.69%,-0.10%,0.00%,0.00,-0.13%,-5.09%
248,wood chop standing single side,MVP,1315,9,1.20%,77.78%,100.00%,1,0,99.62%,154,98.54%,0.09%,0.00%,0.00,1.46%,-2.41%
249,zottman curl balancing alternating with resting arm down,MVP,1291,8,2.50%,75.00%,100.00%,1,0,99.29%,82,97.21%,1.79%,2.50%,0.00,0.38%,2.50%
250,zottman curl kneeling both arms,MVP,1279,13,0.85%,92.31%,100.00%,1,0.07692307692,99.09%,131,97.43%,-0.11%,-0.77%,0.00,1.17%,-4.58%
251,zottman curl standing alternating with resting arm down,MVP,1287,8,5.00%,87.50%,87.50%,1,-0.25,99.10%,77,95.77%,0.59%,5.00%,0.00,-0.56%,5.00%
252,zottman curl standing alternating with resting arm up,List A,1281,8,18.13%,0.00%,75.00%,0,1.75,100.00%,78,97.75%,0.04%,3.75%,0.00,0.00%,9.38%
253,zottman curl standing both arms,MVP,1282,12,5.83%,83.33%,83.33%,1,-0.5833333333,98.02%,110,99.14%,0.79%,0.00%,0.00,0.75%,0.00%
,,,,,,,,,,,,,,,,,
,Avg,,,,8.26%,64.03%,84.90%,,,97.74%,,83.72%,0.55%,1.80%,4.72%,2.04%,-0.35%